case,species,step,omega_ci_t,anisotropy_global,parallel_over_perpendicular_global,anisotropy_median,anisotropy_p25,anisotropy_p75,beta_parallel_global,beta_parallel_median,beta_parallel_p25,beta_parallel_p75,marginal_threshold,instability_drive,valid_cells
Firehose Strong Bi-Maxwellian (local),ion,0,0.0,0.10011234879493713,9.988777728592977,0.10058970749378204,0.08691675215959549,0.11673916131258011,9.834517478942871,9.732678413391113,8.603221893310547,10.956554412841797,0.7966346590687047,0.6965223102737675,262008
Firehose Strong Bi-Maxwellian (local),ion,3000,0.2783203125,0.10631775110960007,9.405767047961044,0.10659395903348923,0.09663932770490646,0.1176295056939125,9.626893997192383,9.563722610473633,8.64702033996582,10.555286407470703,0.7922486732913766,0.6859309221817765,262144
Firehose Strong Bi-Maxwellian (local),ion,6000,0.556640625,0.11091756075620651,9.01570493601072,0.11116497218608856,0.10076203942298889,0.12272997945547104,9.414755821228027,9.352018356323242,8.451492309570312,10.332405090332031,0.7875675123203432,0.6766499515641367,262144
Firehose Strong Bi-Maxwellian (local),ion,9000,0.8349609375,0.11583099514245987,8.633267794773806,0.11608387529850006,0.1052025854587555,0.12818561494350433,9.205625534057617,9.148933410644531,8.262126922607422,10.114383697509766,0.7827415429184367,0.6669105477759768,262144
Firehose Strong Bi-Maxwellian (local),ion,12000,1.11328125,0.12122218310832977,8.249315219033413,0.1214798167347908,0.11004022508859634,0.1342216283082962,8.995689392089844,8.941126823425293,8.065404891967773,9.896324157714844,0.7776712920125216,0.6564491089041918,262144
Firehose Strong Bi-Maxwellian (local),ion,15000,1.3916015625,0.12711220979690552,7.867064868101636,0.12736737728118896,0.11533956229686737,0.14074024558067322,8.786764144897461,8.732099533081055,7.868122100830078,9.68341064453125,0.7723849227065671,0.6452727129096616,262144
Firehose Strong Bi-Maxwellian (local),ion,18000,1.669921875,0.1335877627134323,7.485715605142397,0.1338399350643158,0.12115593254566193,0.1480410099029541,8.577604293823242,8.52862548828125,7.6739606857299805,9.464766502380371,0.766834662512911,0.6332468997994787,262144
Firehose Strong Bi-Maxwellian (local),ion,21000,1.9482421875,0.14074374735355377,7.105111372997346,0.1410033106803894,0.12762705981731415,0.15594588220119476,8.367350578308105,8.32257080078125,7.478433609008789,9.244660377502441,0.76097571372414,0.6202319663705862,262144
Firehose Strong Bi-Maxwellian (local),ion,24000,2.2265625,0.1485479325056076,6.731833847382902,0.14884647727012634,0.1346971094608307,0.1646113246679306,8.158260345458984,8.118988990783691,7.283212661743164,9.031827926635742,0.7548496964658364,0.6063017639602288,262144
Firehose Strong Bi-Maxwellian (local),ion,27000,2.5048828125,0.1570124328136444,6.368922397291202,0.15726013481616974,0.1423155665397644,0.17392411828041077,7.950924396514893,7.910323143005371,7.093738555908203,8.815911293029785,0.7484569214522208,0.5914444886385763,262144
Firehose Strong Bi-Maxwellian (local),ion,30000,2.783203125,0.16622871160507202,6.015807921171951,0.16650359332561493,0.15058627724647522,0.18431249260902405,7.744363307952881,7.709280014038086,6.89626407623291,8.602856636047363,0.7417476530386753,0.5755189414336033,262144
Firehose Strong Bi-Maxwellian (local),ion,33000,3.0615234375,0.17620505392551422,5.675206117656092,0.1764868199825287,0.15963922441005707,0.1953197419643402,7.540104866027832,7.509701728820801,6.708498954772949,8.390236854553223,0.7347516996731625,0.5585466457476482,262144
Firehose Strong Bi-Maxwellian (local),ion,36000,3.33984375,0.1869708001613617,5.34842873398931,0.18729613721370697,0.16936185956001282,0.2074059545993805,7.337685585021973,7.304475784301758,6.521914482116699,8.18218994140625,0.7274344918672322,0.5404636917058705,262144
Firehose Strong Bi-Maxwellian (local),ion,39000,3.6181640625,0.1984177678823471,5.039871230649845,0.1987098753452301,0.1797262728214264,0.21999232470989227,7.1401567459106445,7.114654541015625,6.3336992263793945,7.979853630065918,0.7198941044052776,0.5214763365229305,262144
Firehose Strong Bi-Maxwellian (local),ion,42000,3.896484375,0.2106892466545105,4.746326715192096,0.2110675871372223,0.19083863496780396,0.2337137758731842,6.945920467376709,6.922479629516602,6.152441024780273,7.78427791595459,0.7120612006150213,0.5013719539605108,262144
Firehose Strong Bi-Maxwellian (local),ion,45000,4.1748046875,0.22384709119796753,4.467335245002637,0.22420987486839294,0.20272719860076904,0.24845366179943085,6.755508899688721,6.734747886657715,5.972972869873047,7.584359169006348,0.7039453237798035,0.4800982325818359,262144
Firehose Strong Bi-Maxwellian (local),ion,48000,4.453125,0.2378503978252411,4.204323428269996,0.23822814226150513,0.21541117131710052,0.26394909620285034,6.570335865020752,6.5467987060546875,5.80185604095459,7.394731521606445,0.6956015581109591,0.45775116028571805,262144
Firehose Strong Bi-Maxwellian (local),ion,51000,4.7314453125,0.2527971565723419,3.955740695658632,0.2532460689544678,0.22891519963741302,0.28060266375541687,6.389744281768799,6.373258590698242,5.633919715881348,7.210984230041504,0.6869984287624162,0.4342012721900743,262144
Firehose Strong Bi-Maxwellian (local),ion,54000,5.009765625,0.26869627833366394,3.721674175026018,0.26911434531211853,0.24326249957084656,0.29834869503974915,6.214526653289795,6.202019691467285,5.467444896697998,7.036107540130615,0.6781733973348949,0.40947711900123096,262144
Firehose Strong Bi-Maxwellian (local),ion,57000,5.2880859375,0.28554943203926086,3.5020206233942277,0.28612348437309265,0.25850385427474976,0.3170916438102722,6.044521808624268,6.034689903259277,5.309606075286865,6.861328601837158,0.669121882040955,0.38357245000169415,262144
Firehose Strong Bi-Maxwellian (local),ion,60000,5.56640625,0.3033214807510376,3.2968321185956073,0.30381670594215393,0.27464696764945984,0.3366568684577942,5.880974292755127,5.874124526977539,5.1531195640563965,6.698143005371094,0.6599202954408703,0.3565988146898327,262144
Firehose Strong Bi-Maxwellian (local),ion,63000,5.8447265625,0.3220275342464447,3.1053245255565916,0.3227376341819763,0.2914305329322815,0.357715368270874,5.722781181335449,5.718062877655029,5.005954742431641,6.540369987487793,0.6505195749012919,0.32849204065484716,262144
Firehose Strong Bi-Maxwellian (local),ion,66000,6.123046875,0.34171319007873535,2.9264307876719258,0.34240615367889404,0.3093809485435486,0.37962600588798523,5.571561813354492,5.569060325622559,4.862485885620117,6.391390800476074,0.6410342257701971,0.29932103569146173,262144
Firehose Strong Bi-Maxwellian (local),ion,69000,6.4013671875,0.36181652545928955,2.763831747957341,0.3624391555786133,0.32744085788726807,0.4019598066806793,5.431911945343018,5.4306182861328125,4.727332592010498,6.255394458770752,0.6318055189177587,0.26998899345846916,262144
Firehose Strong Bi-Maxwellian (local),ion,72000,6.6796875,0.3828832805156708,2.6117619935067173,0.3835499882698059,0.3467150628566742,0.42519620060920715,5.297512531280518,5.304165840148926,4.599579811096191,6.125899314880371,0.6224643192082154,0.23958103869254466,262144
