step,omega_ci_t,compressibility
3000,0.2783203125,0.26003145562281915
6000,0.556640625,0.24054594500093418
9000,0.8349609375,0.2049669594530933
12000,1.11328125,0.1441178154643989
15000,1.3916015625,0.16842786852995076
18000,1.669921875,0.17632186860437368
21000,1.9482421875,0.18202937322844337
24000,2.2265625,0.21128441777842683
27000,2.5048828125,0.20605007935393194
30000,2.783203125,0.13402449784502127
33000,3.0615234375,0.11823070502020114
36000,3.33984375,0.15182230004302144
39000,3.6181640625,0.17432631903750287
42000,3.896484375,0.22034557535081836
45000,4.1748046875,0.26142861171938897
48000,4.453125,0.2633663414902953
51000,4.7314453125,0.2597186399435339
54000,5.009765625,0.23637303390531492
57000,5.2880859375,0.2389652547244372
60000,5.56640625,0.23996916433960092
63000,5.8447265625,0.19339162670808985
66000,6.123046875,0.14316524031215117
69000,6.4013671875,0.1736866928289311
72000,6.6796875,0.1681700033851427
