step,omega_ci_t,k,E_perp,E_parallel
3000,0.2783203125,0.34462269856015243,1.1424419142979037e-11,4.54921404893837e-13
3000,0.2783203125,0.41469795252368274,2.0118457797031522e-11,2.017972944694436e-12
3000,0.2783203125,0.6004929537827834,3.0071446117658933e-11,5.190387857087991e-12
3000,0.2783203125,0.7225966237251571,5.609427661221697e-11,8.736175430494441e-12
3000,0.2783203125,0.8695287385634709,9.392891129402707e-11,1.674197802822161e-11
3000,0.2783203125,1.0463378908276764,1.8624114473746079e-10,6.014849495254753e-11
3000,0.2783203125,1.2590992490834092,3.5346862542567365e-10,9.473401425759117e-11
3000,0.2783203125,1.5151233009332898,7.23365716262676e-10,3.0784977622179246e-10
3000,0.2783203125,1.823207041622908,9.850748962318533e-10,3.6851738223013807e-10
6000,0.556640625,0.34462269856015243,4.154181997043318e-11,1.116588095079083e-12
6000,0.556640625,0.41469795252368274,5.2253657757163456e-11,9.577271748327267e-12
6000,0.556640625,0.6004929537827834,1.254952156996567e-10,2.1439120619663995e-11
6000,0.556640625,0.7225966237251571,1.8217761566916441e-10,4.1457577142756583e-11
6000,0.556640625,0.8695287385634709,2.6357694874830564e-10,8.1922190914848e-11
6000,0.556640625,1.0463378908276764,4.4702867645527855e-10,1.9200302809654743e-10
6000,0.556640625,1.2590992490834092,7.318137284521648e-10,1.8786934050765537e-10
6000,0.556640625,1.5151233009332898,1.8413971994662065e-09,7.774539460704234e-10
6000,0.556640625,1.823207041622908,3.833785416881508e-09,1.0687162842400924e-09
9000,0.8349609375,0.34462269856015243,6.864923332230083e-11,2.516235509139495e-12
9000,0.8349609375,0.41469795252368274,7.630471353457538e-11,1.8268233208994196e-11
9000,0.8349609375,0.6004929537827834,2.3870653623185626e-10,3.0198193871640556e-11
9000,0.8349609375,0.7225966237251571,3.0773263149636467e-10,9.198514039929016e-11
9000,0.8349609375,0.8695287385634709,4.4945506183296806e-10,1.8480171420518176e-10
9000,0.8349609375,1.0463378908276764,7.810207276002775e-10,3.095352672264669e-10
9000,0.8349609375,1.2590992490834092,7.135541594878708e-10,1.8365392152484012e-10
9000,0.8349609375,1.5151233009332898,2.9494681759269373e-09,1.039034145500642e-09
9000,0.8349609375,1.823207041622908,6.545508960352257e-09,1.2673378619903842e-09
12000,1.11328125,0.34462269856015243,1.0229049354915803e-10,5.085572111662009e-12
12000,1.11328125,0.41469795252368274,1.2816964495010845e-10,3.003847224093933e-11
12000,1.11328125,0.6004929537827834,2.8206617505161706e-10,4.819826934412725e-11
12000,1.11328125,0.7225966237251571,4.2657110353981174e-10,1.6414364876954985e-10
12000,1.11328125,0.8695287385634709,4.75926979415564e-10,2.485104456487498e-10
12000,1.11328125,1.0463378908276764,1.0946739453337264e-09,4.551485218587148e-10
12000,1.11328125,1.2590992490834092,8.521467466072869e-10,2.0717489436716776e-10
12000,1.11328125,1.5151233009332898,4.94444416667407e-09,8.699375139056907e-10
12000,1.11328125,1.823207041622908,8.669899126656676e-09,8.303000033402644e-10
15000,1.3916015625,0.34462269856015243,1.1647728703058602e-10,7.284776937167853e-12
15000,1.3916015625,0.41469795252368274,1.4631037461195244e-10,3.295321818600824e-11
15000,1.3916015625,0.6004929537827834,3.213217523967424e-10,4.435702847021044e-11
15000,1.3916015625,0.7225966237251571,4.513365422124018e-10,1.652238095873472e-10
15000,1.3916015625,0.8695287385634709,5.7157481058626e-10,2.348939907707548e-10
15000,1.3916015625,1.0463378908276764,1.6509016506898486e-09,5.230271265284306e-10
15000,1.3916015625,1.2590992490834092,1.360310062403823e-09,2.0350161251083862e-10
15000,1.3916015625,1.5151233009332898,4.953915577376378e-09,1.2883590821276119e-09
15000,1.3916015625,1.823207041622908,1.0348720161485585e-08,1.5352019250760882e-09
18000,1.669921875,0.34462269856015243,1.677969323532972e-10,1.3270173632213625e-11
18000,1.669921875,0.41469795252368274,2.313923180684477e-10,4.176771300231903e-11
18000,1.669921875,0.6004929537827834,4.805026483306343e-10,5.139908565149992e-11
18000,1.669921875,0.7225966237251571,6.564405005954959e-10,1.8803211616145736e-10
18000,1.669921875,0.8695287385634709,7.655296683796143e-10,2.4241807185317766e-10
18000,1.669921875,1.0463378908276764,2.7316844956085263e-09,7.295132100829354e-10
18000,1.669921875,1.2590992490834092,2.106591043999041e-09,4.251928464357285e-10
18000,1.669921875,1.5151233009332898,6.8623718764508975e-09,1.6879696808949694e-09
18000,1.669921875,1.823207041622908,1.2327471368814239e-08,2.2567603005329612e-09
21000,1.9482421875,0.34462269856015243,1.5543079103774867e-10,1.9218409962603125e-11
21000,1.9482421875,0.41469795252368274,2.260873594773646e-10,3.957644603420595e-11
21000,1.9482421875,0.6004929537827834,5.577488352168219e-10,3.5994616550857516e-11
21000,1.9482421875,0.7225966237251571,7.458918684157842e-10,1.5987759477921516e-10
21000,1.9482421875,0.8695287385634709,9.36406221285661e-10,2.1766582482895564e-10
21000,1.9482421875,1.0463378908276764,3.603698225289514e-09,9.020221344699801e-10
21000,1.9482421875,1.2590992490834092,2.572308552681544e-09,7.79646494174509e-10
21000,1.9482421875,1.5151233009332898,8.456577604246777e-09,1.7995633463298329e-09
21000,1.9482421875,1.823207041622908,1.3193859875217784e-08,2.8222677526685853e-09
24000,2.2265625,0.34462269856015243,1.6237437839749891e-10,2.8052474947909112e-11
24000,2.2265625,0.41469795252368274,2.65513111251138e-10,3.2358376683546804e-11
24000,2.2265625,0.6004929537827834,6.426862965678835e-10,2.9022067055635384e-11
24000,2.2265625,0.7225966237251571,8.329901755220681e-10,7.063546374231869e-11
24000,2.2265625,0.8695287385634709,7.712783653806014e-10,1.366169949962905e-10
24000,2.2265625,1.0463378908276764,3.431243553464855e-09,9.930035103998141e-10
24000,2.2265625,1.2590992490834092,3.103597462483114e-09,1.0447462308051326e-09
24000,2.2265625,1.5151233009332898,7.510650432433313e-09,2.022224068388898e-09
24000,2.2265625,1.823207041622908,1.1830786738572436e-08,3.2917339862789052e-09
27000,2.5048828125,0.34462269856015243,2.485709200537371e-10,4.197169025568726e-11
27000,2.5048828125,0.41469795252368274,3.6434253684322437e-10,6.196902895970224e-11
27000,2.5048828125,0.6004929537827834,1.0077123184421354e-09,2.6225008314551387e-11
27000,2.5048828125,0.7225966237251571,1.1596057048827855e-09,6.771357419649507e-11
27000,2.5048828125,0.8695287385634709,8.23032452495798e-10,7.025955559960206e-11
27000,2.5048828125,1.0463378908276764,3.1913354851011525e-09,7.263826622105352e-10
27000,2.5048828125,1.2590992490834092,2.8079414985494492e-09,8.560030306568798e-10
27000,2.5048828125,1.5151233009332898,5.674719634129822e-09,2.0301094897058882e-09
27000,2.5048828125,1.823207041622908,1.1850984697566883e-08,3.1598315370076974e-09
30000,2.783203125,0.34462269856015243,3.667721055858058e-10,7.006450220498656e-11
30000,2.783203125,0.41469795252368274,5.520760048543825e-10,1.156921947841173e-10
30000,2.783203125,0.6004929537827834,1.3325370014955826e-09,7.355119095934949e-11
30000,2.783203125,0.7225966237251571,1.5447234988395784e-09,1.3689436698329408e-10
30000,2.783203125,0.8695287385634709,9.225419566645907e-10,1.2108430167248133e-10
30000,2.783203125,1.0463378908276764,2.8335778904138636e-09,7.346279450248696e-10
30000,2.783203125,1.2590992490834092,2.6285424979581788e-09,6.489616679694867e-10
30000,2.783203125,1.5151233009332898,5.1711452740162705e-09,1.1193563662720694e-09
30000,2.783203125,1.823207041622908,1.3982428181895991e-08,1.5197582255431086e-09
33000,3.0615234375,0.34462269856015243,3.85390543549231e-10,9.413655232776922e-11
33000,3.0615234375,0.41469795252368274,6.404695432732064e-10,1.802385993587886e-10
33000,3.0615234375,0.6004929537827834,1.279270017157907e-09,1.1452434203452566e-10
33000,3.0615234375,0.7225966237251571,1.7775303966615949e-09,2.428323128326869e-10
33000,3.0615234375,0.8695287385634709,1.5037818126418093e-09,2.8765966536111167e-10
33000,3.0615234375,1.0463378908276764,3.5568557945009632e-09,7.921357389834322e-10
33000,3.0615234375,1.2590992490834092,3.0967362734496198e-09,6.037616403982191e-10
33000,3.0615234375,1.5151233009332898,6.043023865849295e-09,7.518077177536466e-10
33000,3.0615234375,1.823207041622908,1.6658069461284165e-08,1.6179318013875224e-09
36000,3.33984375,0.34462269856015243,4.077272264132934e-10,1.4858486977381356e-10
36000,3.33984375,0.41469795252368274,6.661091231761302e-10,2.787360756907809e-10
36000,3.33984375,0.6004929537827834,1.0293713944580315e-09,1.6231757793282782e-10
36000,3.33984375,0.7225966237251571,1.953146676362944e-09,3.9557514380115946e-10
36000,3.33984375,0.8695287385634709,2.050656210120802e-09,4.169165255275464e-10
36000,3.33984375,1.0463378908276764,4.775716048190695e-09,9.008487741123168e-10
36000,3.33984375,1.2590992490834092,4.16027634878696e-09,1.0264371890843844e-09
36000,3.33984375,1.5151233009332898,7.7096619576952e-09,1.296608720083311e-09
36000,3.33984375,1.823207041622908,1.575463427438987e-08,2.2667132168876285e-09
39000,3.6181640625,0.34462269856015243,4.5221858449467104e-10,2.0729309727928664e-10
39000,3.6181640625,0.41469795252368274,6.926290101520047e-10,4.067495586782063e-10
39000,3.6181640625,0.6004929537827834,1.2832854623672644e-09,2.2460812062136816e-10
39000,3.6181640625,0.7225966237251571,2.106564591424239e-09,6.832235922756584e-10
39000,3.6181640625,0.8695287385634709,2.1612612558436687e-09,5.190970121249804e-10
39000,3.6181640625,1.0463378908276764,5.625303128345893e-09,1.1436355961513232e-09
