step,omega_ci_t,A_mean,A_median,A_p10,A_p90,T_parallel_mean,T_perp_mean,beta_parallel_mean,beta_parallel_median
0,0.0,0.10335102801774987,0.10057420069341397,0.07633856001519936,0.13380251905823132,0.012296571605121976,0.001230520705530056,9.83725766090379,9.733908473452225
3000,0.2783203125,0.10488426970201578,0.1037921547507332,0.08633119782678976,0.12479571712889921,0.012159334211864423,0.001258102932208802,9.690880978739544,9.610012751100221
6000,0.556640625,0.1090411517498627,0.10783632557077225,0.08980737780971515,0.12980289613586435,0.011912636086422748,0.0012814581743692227,9.490117789187305,9.403535333780416
9000,0.8349609375,0.11361746842754196,0.1123820742391334,0.09349377074215347,0.13527306695470132,0.011665466449233887,0.0013074413853381064,9.289045485380463,9.205286581822087
12000,1.11328125,0.11866839134120571,0.11738161175951842,0.09767035791972652,0.1412776031147021,0.011416128979967263,0.0013364073697207956,9.087684381046067,9.002039193969464
15000,1.3916015625,0.12427965723687795,0.12291902187973083,0.10223211449664381,0.14801588190047926,0.01116535336224353,0.0013687932105455795,8.885950090969956,8.798143404209572
18000,1.669921875,0.1304763902127045,0.12901632505853766,0.10729967222294706,0.15543130711768366,0.010913859513242433,0.0014046572845980627,8.684008158513759,8.596316257158552
21000,1.9482421875,0.1373035149269778,0.13579646879993512,0.11288965067739805,0.16352565337188074,0.010662814454307556,0.0014440923347839292,8.481100724341683,8.39280038449731
24000,2.2265625,0.14479173759465636,0.1432620846613238,0.11901340498140477,0.17253768110503667,0.010411451976586031,0.0014868387788660006,8.279340225278315,8.19223014056914
27000,2.5048828125,0.1529317699965404,0.15126480120587193,0.12586503814492583,0.18224500506871297,0.010161722971605927,0.0015329395955248231,8.079204829619218,7.985820537254783
30000,2.783203125,0.16185287803764964,0.16006246981194772,0.1330356371850703,0.19299260430253443,0.009913082363084372,0.0015823315951544016,7.879026137888221,7.787203609012353
33000,3.0615234375,0.17143825069532695,0.1695202104450596,0.14094999473900013,0.20430423075282783,0.009667964591306432,0.0016347091171661993,7.682661879593516,7.5896288776282095
36000,3.33984375,0.18181492091109633,0.17981107382205375,0.14935217555656288,0.21673273133968277,0.009425188062110285,0.0016899837109991488,7.486895234297078,7.386347733364424
39000,3.6181640625,0.1928937233059243,0.19070325315766434,0.1585788024848875,0.22995305228856694,0.009186751528839661,0.0017476567590017798,7.29642989625942,7.199110966454764
42000,3.896484375,0.2047672271861364,0.20247353995662343,0.1681601840421389,0.24426634724843332,0.008953730978118309,0.0018080205294157404,7.1103591226126355,7.007246711028316
45000,4.1748046875,0.2175046693947119,0.2150939459833252,0.17849330621493084,0.2595380384254788,0.008725564318626946,0.0018713128119240917,6.926192566792685,6.822476482473196
48000,4.453125,0.23109221993648305,0.22846982774267746,0.18980197400068213,0.275626086732662,0.008502250522393421,0.001937449466717927,6.74721413177353,6.6367869990917985
51000,4.7314453125,0.24565122562835498,0.24291752886398893,0.20151546370579826,0.2931792662637279,0.00828516484376896,0.0020066882282000955,6.574350327810693,6.462846690499848
54000,5.009765625,0.2611669948826739,0.25823418745610577,0.21416925743393903,0.3119980671980127,0.008074419115705521,0.0020790025589514528,6.4054638271200375,6.294266718127785
57000,5.2880859375,0.2775324358869545,0.27444987756772554,0.22758849167560463,0.3312839512386305,0.007871298761246981,0.002153815081262861,6.242122034175695,6.126756426635859
60000,5.56640625,0.29485702203968467,0.29152495193470884,0.24179753298591303,0.3520330388146824,0.007675106312826925,0.002231279760146569,6.086207413154696,5.965942102367963
63000,5.8447265625,0.31309191333868097,0.3095851484891736,0.25665917271326144,0.3737616039705423,0.0074871377154457144,0.0023110194603099933,5.936080632735364,5.813293042727759
66000,6.123046875,0.33219508582525464,0.32841391950833493,0.27235388387264264,0.3966431826616889,0.00730880268860307,0.002393513013758842,5.792936480425826,5.6623584912610365
69000,6.4013671875,0.351899843121744,0.3478488684700578,0.2883966989383415,0.42027617626500235,0.00714199468286951,0.002477561473477049,5.66109321609766,5.52499076348215
72000,6.6796875,0.3723489179458045,0.3681300546414759,0.3055136487777296,0.4446392041314528,0.006984906675729167,0.002564137476292916,5.5349854557678135,5.3999343712023435
