step,omega_ci_t,delta_B_rms,delta_B_rms_over_B0,delta_B_parallel_rms,delta_B_parallel_rms_over_B0,delta_B_perp_rms,delta_B_perp_rms_over_B0,B_min,mirror_depth,mirror_area_fraction,magnetic_energy_fluct
0,0.0,7.450580569168251e-10,1.4901161138336502e-08,7.450580569168251e-10,1.4901161138336502e-08,0.0,0.0,0.05000000074505806,-1.4901161193847656e-08,0.0,2.7755575408833756e-19
3000,0.2783203125,0.0011059919784736298,0.022119839569472593,0.0010881661715966755,0.021763323431933507,0.0036692708146680523,0.07338541629336104,0.04508295838831439,0.09834083223371226,0.13045883178710938,6.11609128224007e-07
6000,0.556640625,0.0012441634628058151,0.0248832692561163,0.0012222118299894454,0.024444236599788907,0.0039666800613855635,0.07933360122771127,0.044162573745054896,0.1167485250989021,0.13068771362304688,7.739713610904785e-07
9000,0.8349609375,0.0013667600796329756,0.02733520159265951,0.0013425601175790414,0.026851202351580825,0.0041870711939051295,0.08374142387810259,0.04373924419014489,0.12521511619710224,0.12897872924804688,9.340165576391688e-07
12000,1.11328125,0.0014837590264451918,0.029675180528903836,0.001456889114891553,0.029137782297831056,0.004407228070229486,0.08814456140458972,0.04303654308503871,0.13926913829922583,0.1290283203125,1.1007704242787916e-06
15000,1.3916015625,0.0015880116160497731,0.03176023232099546,0.0015605877357003828,0.031211754714007653,0.004591918105049523,0.09183836210099046,0.04323397683787448,0.13532046324251046,0.1283721923828125,1.260890446354506e-06
18000,1.669921875,0.0017044310830829899,0.034088621661659796,0.0016743916102907098,0.033487832205814194,0.004769346148795829,0.09538692297591657,0.04312505312148539,0.1374989375702923,0.12848281860351562,1.452542658489727e-06
21000,1.9482421875,0.001817583904251525,0.036351678085030495,0.001783573116774689,0.03567146233549378,0.004972263886342958,0.09944527772685917,0.04212980128499901,0.15740397430001984,0.12750244140625,1.6518056244971085e-06
24000,2.2265625,0.0019239362030773145,0.03847872406154629,0.0018881721401228643,0.03776344280245728,0.005163708160721941,0.10327416321443882,0.04054261270035221,0.1891477459929558,0.12674713134765625,1.8507652567557769e-06
27000,2.5048828125,0.002044365488064685,0.04088730976129369,0.0020067421919241703,0.040134843838483404,0.005344226401309157,0.10688452802618313,0.04155111376777273,0.16897772464454552,0.12614059448242188,2.089715124394978e-06
30000,2.783203125,0.0021556560789653297,0.04311312157930659,0.0021141897472947146,0.04228379494589429,0.005533255511497855,0.1106651102299571,0.0405159503186713,0.1896809936265741,0.12642669677734375,2.32342656539009e-06
33000,3.0615234375,0.0022750153344799256,0.04550030668959851,0.0022314555488312056,0.04462911097662411,0.0057230305564501,0.114460611129002,0.04034499580931812,0.19310008381363764,0.12604141235351562,2.5878473860594034e-06
36000,3.33984375,0.0023891323203287366,0.04778264640657473,0.002343708724597359,0.046874174491947175,0.005928994464652892,0.11857988929305782,0.03969898927165257,0.20602021456694863,0.12537002563476562,2.8539766220196865e-06
39000,3.6181640625,0.0025100384291062176,0.05020076858212435,0.0024611013056936516,0.04922202611387303,0.00611914010057664,0.1223828020115328,0.03888227110645379,0.22235457787092416,0.12473297119140625,3.150146457795004e-06
42000,3.896484375,0.0026499129593070925,0.052998259186141844,0.0025977016996773924,0.051954033993547845,0.006318851071206756,0.12637702142413512,0.038805781843813565,0.22388436312372872,0.12473297119140625,3.5110193459518364e-06
45000,4.1748046875,0.002771248687815425,0.0554249737563085,0.0027156240450360355,0.05431248090072071,0.006533781374048206,0.13067562748096412,0.037062067980199,0.25875864039602003,0.12347412109375,3.839909644859357e-06
48000,4.453125,0.002889493793649813,0.057789875872996256,0.002831890711608549,0.05663781423217098,0.006733411793055065,0.1346682358611013,0.0385012453602508,0.22997509279498407,0.1236572265625,4.174587191770394e-06
51000,4.7314453125,0.0030409829804099965,0.060819659608199926,0.0029786828207813408,0.05957365641562681,0.006938610740837703,0.13877221481675406,0.03641164840083305,0.27176703198333896,0.12322616577148438,4.623788743571632e-06
54000,5.009765625,0.003171108045707987,0.06342216091415974,0.0031059052725828495,0.06211810545165699,0.007159536011527752,0.14319072023055504,0.03704944304420975,0.2590111391158051,0.12215423583984375,5.027963118776964e-06
57000,5.2880859375,0.0033091811420110813,0.06618362284022163,0.0032418344026995923,0.06483668805399184,0.0073869271918304445,0.1477385438366089,0.03639140207808165,0.27217195843836706,0.12195968627929688,5.475339915320882e-06
60000,5.56640625,0.003464293929617079,0.06928587859234157,0.003392249953495043,0.06784499906990085,0.007610741463761343,0.15221482927522687,0.0346219373918877,0.30756125216224606,0.12150192260742188,6.000666215390872e-06
63000,5.8447265625,0.003622125767923238,0.07244251535846476,0.0035451356416435495,0.07090271283287099,0.007854513112902878,0.15709026225805756,0.03474497897384669,0.3051004205230663,0.120086669921875,6.559897539326753e-06
66000,6.123046875,0.0037776704683597393,0.07555340936719478,0.0036980790431408285,0.07396158086281657,0.008107573705951677,0.16215147411903352,0.030674058403933346,0.3865188319213331,0.11970138549804688,7.135397083758647e-06
69000,6.4013671875,0.0039427221532585405,0.07885444306517081,0.0038577937192167317,0.07715587438433463,0.008330161380647903,0.16660322761295804,0.03317505970717712,0.33649880585645764,0.11998367309570312,7.77252898889783e-06
72000,6.6796875,0.004109437058783299,0.08218874117566598,0.004020161458855726,0.08040322917711452,0.008598069906813005,0.17196139813626007,0.03144294909350241,0.3711410181299518,0.11870574951171875,8.443736470050767e-06
