step,omega_ci_t,region,q_parallel_mean,q_parallel_abs_mean,q_perp_mean,q_perp_abs_mean
0,0.0,low_y_low_z,-5.541426882620355e-09,9.671751624427629e-06,4.83530198812966e-07,4.83530198812966e-07
0,0.0,low_y_high_z,-4.4380740315027066e-08,9.65197190833799e-06,4.814999818631641e-07,4.814999818631641e-07
0,0.0,high_y_low_z,-4.575421978793564e-08,9.695937424506622e-06,4.809387538058155e-07,4.809387538058155e-07
0,0.0,high_y_high_z,-4.164209389722627e-08,9.71453925940281e-06,4.818489104567898e-07,4.818489104567898e-07
3000,0.2783203125,low_y_low_z,4.00061259040302e-08,6.098427003079468e-06,3.5114520038534384e-07,3.5114520038534384e-07
3000,0.2783203125,low_y_high_z,-3.911059494088713e-08,6.0671455017009e-06,3.499655295260223e-07,3.499655295260223e-07
3000,0.2783203125,high_y_low_z,-4.5728194144193e-08,6.106913441197412e-06,3.496513721957839e-07,3.496513721957839e-07
3000,0.2783203125,high_y_high_z,-6.209339691772783e-08,6.106141972011765e-06,3.5115105533285984e-07,3.5115105533285984e-07
6000,0.556640625,low_y_low_z,2.750651074266578e-08,5.873190953809032e-06,3.625330412444066e-07,3.625330412444066e-07
6000,0.556640625,low_y_high_z,-5.2630489454535603e-08,5.897566105925542e-06,3.6253205727661084e-07,3.6253205727661084e-07
6000,0.556640625,high_y_low_z,-3.137521423714304e-08,5.909720193611955e-06,3.61080406781635e-07,3.61080406781635e-07
6000,0.556640625,high_y_high_z,-6.227159904027968e-08,5.946524778834408e-06,3.636229252957197e-07,3.636229252957197e-07
9000,0.8349609375,low_y_low_z,3.389082904005219e-08,5.73432094500926e-06,3.7607571741493454e-07,3.7607571741493454e-07
9000,0.8349609375,low_y_high_z,-5.841241113203284e-08,5.700202298164176e-06,3.7441593520127913e-07,3.7441593520127913e-07
9000,0.8349609375,high_y_low_z,-2.395484951276087e-08,5.68839644817145e-06,3.7340389748137226e-07,3.7340389748137226e-07
9000,0.8349609375,high_y_high_z,-3.623611529765426e-08,5.705489073841718e-06,3.755674276283724e-07,3.755674276283724e-07
12000,1.11328125,low_y_low_z,2.6862993104833325e-08,5.516287731768679e-06,3.8927398683163696e-07,3.8927398683163696e-07
12000,1.11328125,low_y_high_z,-7.077305595763522e-08,5.506693522035618e-06,3.8985788256495284e-07,3.8985788256495284e-07
12000,1.11328125,high_y_low_z,-1.624952414799962e-08,5.548841905930086e-06,3.8864046594840925e-07,3.8864046594840925e-07
12000,1.11328125,high_y_high_z,-1.3440999534990864e-08,5.514024182031486e-06,3.8973635989323025e-07,3.8973635989323025e-07
