step,omega_ci_t,corr_A_deltaB,corr_A_Bmag,corr_A_Jdia,corr_A_rho_i
0,0.0,nan,nan,-0.0027509541124900293,0.0028484500156885726
3000,0.2783203125,-0.004438073487621033,-0.004438073487621032,4.551500302086759e-05,-0.0357802666775194
6000,0.556640625,0.0037932806805262577,0.003793280680526266,-0.0025600053125244037,-0.03951641124088267
9000,0.8349609375,-0.0034266060791039252,-0.003426606079103916,0.0013660966949051161,-0.032202032150949106
12000,1.11328125,-0.0018165017566837715,-0.0018165017566837713,-0.00441106564300205,-0.03645226300780261
15000,1.3916015625,-0.0022030146034268485,-0.0022030146034268503,-0.0023812119248548267,-0.040364378262110805
18000,1.669921875,-0.001530208541619185,-0.0015302085416191834,0.0014424465486786863,-0.03941781827724384
21000,1.9482421875,-0.00469675682766031,-0.0046967568276603125,0.004270285140605438,-0.03967442122879071
24000,2.2265625,-0.0015569207401415954,-0.0015569207401415971,0.0007385693762494727,-0.04176266736883387
27000,2.5048828125,0.0027086585086299464,0.0027086585086299464,0.0014587089856760319,-0.041057688923768806
30000,2.783203125,-0.0029258138789107204,-0.002925813878910719,-0.0017173036337614113,-0.04099561560815296
33000,3.0615234375,0.0003936610857310934,0.00039366108573109124,0.0009440184749246644,-0.0387363241075512
36000,3.33984375,-0.0012730679364995334,-0.0012730679364995356,-0.0012394533027166577,-0.03806776398779888
39000,3.6181640625,-0.0030170010646218127,-0.0030170010646218127,0.0010687123620641457,-0.03827874815008039
42000,3.896484375,0.004093830863888019,0.004093830863888018,0.0013370803883836439,-0.03591495673949771
45000,4.1748046875,-0.005436555725286141,-0.00543655572528614,0.0020105215357194943,-0.03477963077287682
48000,4.453125,-0.0021725920295736704,-0.0021725920295736687,-0.002287458669631926,-0.03554532599761696
51000,4.7314453125,0.0004584567911433432,0.0004584567911433421,-0.0025743356113445627,-0.031055272330427874
54000,5.009765625,0.000465520693031568,0.0004655206930315668,0.004618998596307877,-0.030780461279332292
57000,5.2880859375,-0.0009947140330306848,-0.000994714033030687,-0.005799860422518594,-0.02516411527184023
60000,5.56640625,-0.0017469751281981773,-0.001746975128198179,0.0004972578687015452,-0.027949012482472384
63000,5.8447265625,-0.0030032791771709756,-0.0030032791771709808,0.001106988207357673,-0.02699348209190465
66000,6.123046875,-0.00030278229064277366,-0.00030278229064277425,0.002706858221603392,-0.024818906066295273
69000,6.4013671875,-0.0006330844312352297,-0.0006330844312352309,-0.0012165362533236301,-0.021673364455323692
72000,6.6796875,-0.0008394609395695778,-0.0008394609395695778,-0.000986362686798399,-0.023750879236526256
