case,species,step,omega_ci_t,anisotropy_global,parallel_over_perpendicular_global,anisotropy_median,anisotropy_p25,anisotropy_p75,beta_parallel_global,beta_parallel_median,beta_parallel_p25,beta_parallel_p75,marginal_threshold,instability_drive,valid_cells
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,0,0.0,0.3000240623950958,3.3330659948305064,0.3001401424407959,0.28924354910850525,0.31145864725112915,5.993015289306641,5.988884449005127,5.810033321380615,6.1714067459106445,0.6662781749333082,0.3662541125382124,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,500,0.06597222222222222,0.3001857101917267,3.3312711633118925,0.3002391457557678,0.2929832935333252,0.3076842427253723,5.992806434631348,5.99033260345459,5.844313621520996,6.139498233795166,0.6662665444286069,0.3660808342368802,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,1000,0.13194444444444445,0.3002978265285492,3.3300274316335434,0.30035287141799927,0.2930988371372223,0.3078014552593231,5.990764141082764,5.988104343414307,5.841594219207764,6.13770866394043,0.6661527723509204,0.3658549458223712,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,1500,0.19791666666666669,0.3003937900066376,3.328963624640522,0.3004639744758606,0.2931665778160095,0.3079209625720978,5.989016056060791,5.986372947692871,5.839019298553467,6.1365461349487305,0.6660553284080728,0.3656615384014352,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,2000,0.2638888888888889,0.3004838824272156,3.3279655198884885,0.3005426526069641,0.29326409101486206,0.3080037236213684,5.987398147583008,5.985057830810547,5.837108612060547,6.135422229766846,0.6659650902274872,0.3654812078002716,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,2500,0.3298611111111111,0.30057063698768616,3.3270049597059215,0.30062443017959595,0.2933478355407715,0.3081077039241791,5.9858479499816895,5.9832916259765625,5.835399627685547,6.134232997894287,0.6658785828320083,0.36530794584432214,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,3000,0.39583333333333337,0.30065375566482544,3.3260851765803956,0.3007199764251709,0.2934364974498749,0.3081924617290497,5.984346389770508,5.981785774230957,5.833320617675781,6.133228302001953,0.6657947468718137,0.3651409912069883,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,3500,0.4618055555555556,0.300737202167511,3.3251622772063922,0.300774484872818,0.2934953570365906,0.308260440826416,5.982863903045654,5.980309963226318,5.831630706787109,6.132180213928223,0.6657119345499612,0.36497473238245026,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,4000,0.5277777777777778,0.30081772804260254,3.3242721647654276,0.3008701205253601,0.2935801148414612,0.3083612322807312,5.981418609619141,5.979180335998535,5.8298773765563965,6.1309895515441895,0.6656311603431904,0.3648134323005878,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,4500,0.59375,0.30089837312698364,3.32338121209444,0.3009701371192932,0.2936619520187378,0.308449387550354,5.9799723625183105,5.9774932861328125,5.828227996826172,6.129705429077148,0.6655502937545765,0.3646519206275929,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,5000,0.6597222222222222,0.30097901821136475,3.3224907368717065,0.3010460138320923,0.2937527596950531,0.30851465463638306,5.978538513183594,5.9758501052856445,5.826772689819336,6.1287102699279785,0.6654700817616724,0.3644910635503077,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,5500,0.7256944444444444,0.3010586202144623,3.321612247102041,0.301120787858963,0.2938363254070282,0.3085940182209015,5.977118968963623,5.974830150604248,5.824942588806152,6.127325534820557,0.6653906321113796,0.36433201189691733,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,6000,0.7916666666666667,0.3011385500431061,3.320730606748476,0.3012009859085083,0.29390376806259155,0.308674693107605,5.975695610046387,5.973281383514404,5.823193073272705,6.126455783843994,0.6653109310592085,0.3641723810161024,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,6500,0.857638888888889,0.3012181222438812,3.3198533758548234,0.30126968026161194,0.2939901351928711,0.3087545335292816,5.974277019500732,5.97175407409668,5.822083473205566,6.124965190887451,0.6652314592256489,0.36401333698176763,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,7000,0.9236111111111112,0.3012981116771698,3.3189720122489996,0.3013519048690796,0.2940772771835327,0.3088267743587494,5.97285795211792,5.970710754394531,5.82046365737915,6.123659133911133,0.6651519229097322,0.36385381123256244,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,7500,0.9895833333333335,0.30137723684310913,3.318100631868822,0.3014342188835144,0.29413649439811707,0.3089213967323303,5.971461772918701,5.968964099884033,5.818465709686279,6.1225433349609375,0.6650736325450092,0.36369639570190004,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,8000,1.0555555555555556,0.3014570474624634,3.3172221662010317,0.3015105724334717,0.29421502351760864,0.3090040683746338,5.970038890838623,5.967716217041016,5.816891193389893,6.121367931365967,0.6649938071477025,0.36353675968523913,1327104
Firehose Moderate Bi-Maxwellian (bigbox 40 di),ion,8500,1.121527777777778,0.3015367090702057,3.316345804408092,0.30159881711006165,0.2942919135093689,0.3090797960758209,5.968629360198975,5.966259956359863,5.815744400024414,6.1202712059021,0.6649146932565895,0.3633779841863838,1327104
