kpar_di,kperp_di,gamma_oci,rvalue,final_power
-1.413717,0.000000,4.742873e-02,0.6793,5.952073e-09
-1.413717,0.157080,3.966142e-02,0.8068,4.736716e-07
-1.413717,0.314159,2.703294e-02,0.6725,8.915694e-07
-1.413717,0.471239,1.832138e-02,0.5263,2.147140e-06
-1.413717,0.628319,1.112840e-02,0.4117,3.223648e-06
-1.413717,0.785398,6.259798e-03,0.2660,3.119796e-06
-1.413717,0.942478,1.714381e-03,0.0668,4.502054e-06
-1.413717,1.099557,-1.443189e-03,0.0561,3.283465e-06
-1.413717,1.256637,-3.448245e-03,0.1513,3.855254e-06
-1.413717,1.413717,2.075520e-03,0.0827,1.823151e-05
-1.256637,0.000000,5.206651e-02,0.7354,2.746930e-08
-1.256637,0.157080,4.427513e-02,0.7845,8.354735e-07
-1.256637,0.314159,3.597849e-02,0.7443,1.768741e-06
-1.256637,0.471239,2.357154e-02,0.5934,1.479286e-06
-1.256637,0.628319,1.577401e-02,0.4977,5.501023e-06
-1.256637,0.785398,7.547040e-03,0.2821,8.739527e-06
-1.256637,0.942478,-1.081724e-03,0.0468,1.131997e-05
-1.256637,1.099557,-2.953845e-03,0.1397,3.429606e-06
-1.256637,1.256637,-4.370429e-03,0.1837,1.613225e-05
-1.256637,1.413717,-2.092994e-03,0.0845,2.356337e-05
-1.099557,0.000000,6.078309e-02,0.7815,2.840566e-07
-1.099557,0.157080,5.729500e-02,0.8911,3.343502e-06
-1.099557,0.314159,4.602746e-02,0.8652,2.376238e-06
-1.099557,0.471239,3.075729e-02,0.7231,3.315642e-06
-1.099557,0.628319,2.457232e-02,0.7156,8.909572e-06
-1.099557,0.785398,1.662279e-02,0.5795,6.932450e-06
-1.099557,0.942478,4.888637e-03,0.2020,1.475848e-05
-1.099557,1.099557,3.330584e-03,0.1531,6.296407e-06
-1.099557,1.256637,5.865232e-03,0.2579,2.631463e-05
-1.099557,1.413717,5.127057e-03,0.2004,3.615405e-05
-0.942478,0.000000,6.281732e-02,0.8409,3.460621e-06
-0.942478,0.157080,6.401338e-02,0.9504,2.771548e-05
-0.942478,0.314159,4.666472e-02,0.8829,1.160062e-05
-0.942478,0.471239,4.056970e-02,0.8038,5.145312e-06
-0.942478,0.628319,3.319361e-02,0.7213,2.552288e-05
-0.942478,0.785398,1.957056e-02,0.5718,9.621021e-06
-0.942478,0.942478,9.378691e-03,0.3391,3.104378e-05
-0.942478,1.099557,5.398753e-03,0.2120,2.417769e-05
-0.942478,1.256637,5.903961e-03,0.2357,4.318830e-05
-0.942478,1.413717,4.268210e-03,0.1687,3.541768e-05
-0.785398,0.000000,7.170707e-02,0.8761,8.086100e-05
-0.785398,0.157080,6.640326e-02,0.9380,6.825411e-04
-0.785398,0.314159,4.844636e-02,0.8849,1.033056e-03
-0.785398,0.471239,4.194896e-02,0.8729,3.571864e-04
-0.785398,0.628319,3.282755e-02,0.7713,5.770698e-04
-0.785398,0.785398,2.768485e-02,0.6342,1.803185e-04
-0.785398,0.942478,1.995669e-02,0.6101,1.248717e-04
-0.785398,1.099557,4.177413e-03,0.1560,2.694236e-05
-0.785398,1.256637,2.087243e-03,0.0952,4.299130e-05
-0.785398,1.413717,1.461121e-03,0.0652,2.649104e-05
-0.628319,0.000000,7.690282e-02,0.8463,1.279508e-04
-0.628319,0.157080,7.516517e-02,0.8820,7.001438e-04
-0.628319,0.314159,6.127166e-02,0.9027,4.702724e-03
-0.628319,0.471239,5.618996e-02,0.9122,1.696418e-03
-0.628319,0.628319,4.742958e-02,0.8661,1.823861e-03
-0.628319,0.785398,4.719549e-02,0.8970,7.430139e-04
-0.628319,0.942478,2.475825e-02,0.6929,2.296748e-04
-0.628319,1.099557,9.857465e-03,0.3938,2.015767e-05
-0.628319,1.256637,2.021404e-03,0.0745,1.669314e-05
-0.628319,1.413717,4.703539e-03,0.2055,1.152621e-05
-0.471239,0.000000,8.406461e-02,0.8271,1.852682e-03
-0.471239,0.157080,8.118988e-02,0.8736,1.858563e-02
-0.471239,0.314159,7.272774e-02,0.8894,5.507429e-02
-0.471239,0.471239,6.139750e-02,0.9296,1.627200e-02
-0.471239,0.628319,5.302722e-02,0.8864,1.955567e-04
-0.471239,0.785398,5.890740e-02,0.9174,3.286453e-04
-0.471239,0.942478,3.090404e-02,0.7695,1.846924e-04
-0.471239,1.099557,2.011855e-02,0.6421,1.363728e-04
-0.471239,1.256637,9.770515e-03,0.3533,2.740479e-05
-0.471239,1.413717,3.658732e-03,0.1451,1.676692e-06
-0.314159,0.000000,8.599432e-02,0.8286,4.240755e-03
-0.314159,0.157080,8.773837e-02,0.9123,9.432697e-02
-0.314159,0.314159,7.825966e-02,0.9243,1.979097e-01
-0.314159,0.471239,6.041588e-02,0.9648,3.520390e-02
-0.314159,0.628319,6.205741e-02,0.9061,4.690861e-03
-0.314159,0.785398,5.194750e-02,0.8961,8.808165e-04
-0.314159,0.942478,4.391870e-02,0.8930,8.555103e-04
-0.314159,1.099557,3.088757e-02,0.8744,2.308857e-04
-0.314159,1.256637,1.448304e-02,0.5232,8.608255e-05
-0.314159,1.413717,6.554067e-03,0.2392,8.389758e-06
-0.157080,0.000000,1.038372e-01,0.8876,2.281431e-03
-0.157080,0.157080,1.067436e-01,0.9388,2.166476e-02
-0.157080,0.314159,1.001100e-01,0.9564,7.328985e-02
-0.157080,0.471239,9.146268e-02,0.9673,1.258513e-02
-0.157080,0.628319,6.247277e-02,0.9008,4.046067e-03
-0.157080,0.785398,5.188553e-02,0.8337,1.700683e-03
-0.157080,0.942478,4.479922e-02,0.8607,3.886162e-04
-0.157080,1.099557,3.138988e-02,0.8674,1.041934e-04
-0.157080,1.256637,1.410847e-02,0.5376,7.685036e-05
-0.157080,1.413717,1.178403e-02,0.4609,3.750114e-05
0.000000,0.000000,1.530636e-01,0.8439,3.736350e-03
0.000000,0.157080,1.218097e-01,0.9658,2.772951e-03
0.000000,0.314159,1.153272e-01,0.9505,8.898769e-03
0.000000,0.471239,9.445023e-02,0.9374,3.757798e-03
0.000000,0.628319,6.669439e-02,0.9131,2.719309e-03
0.000000,0.785398,4.768501e-02,0.7762,5.111250e-04
0.000000,0.942478,4.275339e-02,0.8214,7.406014e-05
0.000000,1.099557,3.049650e-02,0.7766,4.489678e-06
0.000000,1.256637,1.133461e-02,0.2650,1.606137e-05
0.000000,1.413717,1.387275e-02,0.3560,2.025975e-05
0.157080,0.000000,1.038372e-01,0.8876,2.281431e-03
0.157080,0.157080,1.067436e-01,0.9388,2.166476e-02
0.157080,0.314159,1.001100e-01,0.9564,7.328985e-02
0.157080,0.471239,9.146268e-02,0.9673,1.258513e-02
0.157080,0.628319,6.247277e-02,0.9008,4.046067e-03
0.157080,0.785398,5.188553e-02,0.8337,1.700683e-03
0.157080,0.942478,4.479922e-02,0.8607,3.886162e-04
0.157080,1.099557,3.138988e-02,0.8674,1.041934e-04
0.157080,1.256637,1.410847e-02,0.5376,7.685036e-05
0.157080,1.413717,1.178403e-02,0.4609,3.750114e-05
0.314159,0.000000,8.599432e-02,0.8286,4.240755e-03
0.314159,0.157080,8.773837e-02,0.9123,9.432697e-02
0.314159,0.314159,7.825966e-02,0.9243,1.979097e-01
0.314159,0.471239,6.041588e-02,0.9648,3.520390e-02
0.314159,0.628319,6.205741e-02,0.9061,4.690861e-03
0.314159,0.785398,5.194750e-02,0.8961,8.808165e-04
0.314159,0.942478,4.391870e-02,0.8930,8.555103e-04
0.314159,1.099557,3.088757e-02,0.8744,2.308857e-04
0.314159,1.256637,1.448304e-02,0.5232,8.608255e-05
0.314159,1.413717,6.554067e-03,0.2392,8.389758e-06
0.471239,0.000000,8.406461e-02,0.8271,1.852682e-03
0.471239,0.157080,8.118988e-02,0.8736,1.858563e-02
0.471239,0.314159,7.272774e-02,0.8894,5.507429e-02
0.471239,0.471239,6.139750e-02,0.9296,1.627200e-02
0.471239,0.628319,5.302722e-02,0.8864,1.955567e-04
0.471239,0.785398,5.890740e-02,0.9174,3.286453e-04
0.471239,0.942478,3.090404e-02,0.7695,1.846924e-04
0.471239,1.099557,2.011855e-02,0.6421,1.363728e-04
0.471239,1.256637,9.770515e-03,0.3533,2.740479e-05
0.471239,1.413717,3.658732e-03,0.1451,1.676692e-06
0.628319,0.000000,7.690282e-02,0.8463,1.279508e-04
0.628319,0.157080,7.516517e-02,0.8820,7.001438e-04
0.628319,0.314159,6.127166e-02,0.9027,4.702724e-03
0.628319,0.471239,5.618996e-02,0.9122,1.696418e-03
0.628319,0.628319,4.742958e-02,0.8661,1.823861e-03
0.628319,0.785398,4.719549e-02,0.8970,7.430139e-04
0.628319,0.942478,2.475825e-02,0.6929,2.296748e-04
0.628319,1.099557,9.857465e-03,0.3938,2.015767e-05
0.628319,1.256637,2.021404e-03,0.0745,1.669314e-05
0.628319,1.413717,4.703539e-03,0.2055,1.152621e-05
0.785398,0.000000,7.170707e-02,0.8761,8.086100e-05
0.785398,0.157080,6.640326e-02,0.9380,6.825411e-04
0.785398,0.314159,4.844636e-02,0.8849,1.033056e-03
0.785398,0.471239,4.194896e-02,0.8729,3.571864e-04
0.785398,0.628319,3.282755e-02,0.7713,5.770698e-04
0.785398,0.785398,2.768485e-02,0.6342,1.803185e-04
0.785398,0.942478,1.995669e-02,0.6101,1.248717e-04
0.785398,1.099557,4.177413e-03,0.1560,2.694236e-05
0.785398,1.256637,2.087243e-03,0.0952,4.299130e-05
0.785398,1.413717,1.461121e-03,0.0652,2.649104e-05
0.942478,0.000000,6.281732e-02,0.8409,3.460621e-06
0.942478,0.157080,6.401338e-02,0.9504,2.771548e-05
0.942478,0.314159,4.666472e-02,0.8829,1.160062e-05
0.942478,0.471239,4.056970e-02,0.8038,5.145312e-06
0.942478,0.628319,3.319361e-02,0.7213,2.552288e-05
0.942478,0.785398,1.957056e-02,0.5718,9.621021e-06
0.942478,0.942478,9.378691e-03,0.3391,3.104378e-05
0.942478,1.099557,5.398753e-03,0.2120,2.417769e-05
0.942478,1.256637,5.903961e-03,0.2357,4.318830e-05
0.942478,1.413717,4.268210e-03,0.1687,3.541768e-05
1.099557,0.000000,6.078309e-02,0.7815,2.840566e-07
1.099557,0.157080,5.729500e-02,0.8911,3.343502e-06
1.099557,0.314159,4.602746e-02,0.8652,2.376238e-06
1.099557,0.471239,3.075729e-02,0.7231,3.315642e-06
1.099557,0.628319,2.457232e-02,0.7156,8.909572e-06
1.099557,0.785398,1.662279e-02,0.5795,6.932450e-06
1.099557,0.942478,4.888637e-03,0.2020,1.475848e-05
1.099557,1.099557,3.330584e-03,0.1531,6.296407e-06
1.099557,1.256637,5.865232e-03,0.2579,2.631463e-05
1.099557,1.413717,5.127057e-03,0.2004,3.615405e-05
1.256637,0.000000,5.206651e-02,0.7354,2.746930e-08
1.256637,0.157080,4.427513e-02,0.7845,8.354735e-07
1.256637,0.314159,3.597849e-02,0.7443,1.768741e-06
1.256637,0.471239,2.357154e-02,0.5934,1.479286e-06
1.256637,0.628319,1.577401e-02,0.4977,5.501023e-06
1.256637,0.785398,7.547040e-03,0.2821,8.739527e-06
1.256637,0.942478,-1.081724e-03,0.0468,1.131997e-05
1.256637,1.099557,-2.953845e-03,0.1397,3.429606e-06
1.256637,1.256637,-4.370429e-03,0.1837,1.613225e-05
1.256637,1.413717,-2.092994e-03,0.0845,2.356337e-05
1.413717,0.000000,4.742873e-02,0.6793,5.952073e-09
1.413717,0.157080,3.966142e-02,0.8068,4.736716e-07
1.413717,0.314159,2.703294e-02,0.6725,8.915694e-07
1.413717,0.471239,1.832138e-02,0.5263,2.147140e-06
1.413717,0.628319,1.112840e-02,0.4117,3.223648e-06
1.413717,0.785398,6.259798e-03,0.2660,3.119796e-06
1.413717,0.942478,1.714381e-03,0.0668,4.502054e-06
1.413717,1.099557,-1.443189e-03,0.0561,3.283465e-06
1.413717,1.256637,-3.448245e-03,0.1513,3.855254e-06
1.413717,1.413717,2.075520e-03,0.0827,1.823151e-05
