case,species,step,omega_ci_t,anisotropy_global,parallel_over_perpendicular_global,anisotropy_median,anisotropy_p25,anisotropy_p75,beta_parallel_global,beta_parallel_median,beta_parallel_p25,beta_parallel_p75,marginal_threshold,instability_drive,valid_cells
Mirror Moderate Bi-Kappa 3,ion,0,0.0,1.9988209009170532,0.5002949486575825,2.0033957958221436,1.8928864002227783,2.11934494972229,4.992727756500244,4.953452110290527,4.708492279052734,5.226751804351807,1.200291313440445,0.7985295874766083,331776
Mirror Moderate Bi-Kappa 3,ion,500,0.06597222222222222,1.9984080791473389,0.5003982972420078,2.0010809898376465,1.925998568534851,2.078613042831421,4.994244575500488,4.971916675567627,4.788707733154297,5.171658992767334,1.2002304822846581,0.7981775968626807,331776
Mirror Moderate Bi-Kappa 3,ion,1000,0.13194444444444445,1.9983850717544556,0.5004040583239863,2.001176357269287,1.9256757497787476,2.078526020050049,4.993159770965576,4.971541404724121,4.787461280822754,5.17133903503418,1.2002739839840175,0.798111087770438,331776
Mirror Moderate Bi-Kappa 3,ion,1500,0.19791666666666669,1.9984307289123535,0.5003926258401011,2.0009765625,1.9258795976638794,2.0787835121154785,4.992143154144287,4.97066068649292,4.785655498504639,5.171121597290039,1.2003147684516695,0.798115960460684,331776
Mirror Moderate Bi-Kappa 3,ion,2000,0.2638888888888889,1.998553991317749,0.500361763727308,2.0015335083007812,1.9258662462234497,2.0790178775787354,4.991065502166748,4.969429016113281,4.783544540405273,5.170831680297852,1.2003580196585026,0.7981959716592464,331776
Mirror Moderate Bi-Kappa 3,ion,2500,0.3298611111111111,1.9987051486968994,0.5003239225415377,2.001384735107422,1.9259475469589233,2.0788004398345947,4.989981651306152,4.968423843383789,4.782957077026367,5.170421600341797,1.200401538498292,0.7983036101986074,331776
Mirror Moderate Bi-Kappa 3,ion,3000,0.39583333333333337,1.9988051652908325,0.5002988872377148,2.001645088195801,1.926356554031372,2.0790889263153076,4.989037036895752,4.967926979064941,4.781371116638184,5.169849395751953,1.200439482129444,0.7983656831613886,331776
Mirror Moderate Bi-Kappa 3,ion,3500,0.4618055555555556,1.9989877939224243,0.5002531796543863,2.001807689666748,1.9267127513885498,2.079070568084717,4.9879631996154785,4.966339111328125,4.7808637619018555,5.168818473815918,1.200482633888937,0.7985051600334874,331776
Mirror Moderate Bi-Kappa 3,ion,4000,0.5277777777777778,1.9991425275802612,0.5002144600517244,2.0019943714141846,1.9267603158950806,2.079038143157959,4.986938953399658,4.965895652770996,4.77924108505249,5.168503761291504,1.2005238101658107,0.7986187174144506,331776
Mirror Moderate Bi-Kappa 3,ion,4500,0.59375,1.999319076538086,0.5001702888423125,2.00211238861084,1.9262570142745972,2.079641103744507,4.985887050628662,4.964394569396973,4.777665615081787,5.167928218841553,1.2005661158878262,0.7987529606502597,331776
