kpar_di,kperp_di,gamma_oci,rvalue,final_power
-1.256637,0.000000,4.927282e-03,0.1605,5.384683e-07
-1.256637,0.314159,1.537625e-03,0.0846,2.858691e-06
-1.256637,0.628319,3.104792e-04,0.0180,1.104887e-05
-1.256637,0.942478,-1.465088e-03,0.0845,2.265026e-05
-1.256637,1.256637,-1.659520e-03,0.1029,3.266406e-05
-0.942478,0.000000,6.639353e-03,0.2037,8.600252e-07
-0.942478,0.314159,9.036667e-03,0.4446,1.354978e-06
-0.942478,0.628319,1.530816e-03,0.0900,1.630006e-05
-0.942478,0.942478,-1.298783e-03,0.0722,2.400375e-05
-0.942478,1.256637,-2.469416e-03,0.1376,2.483299e-05
-0.628319,0.000000,2.221519e-02,0.9222,1.671183e-06
-0.628319,0.314159,2.377479e-02,0.9180,9.968671e-06
-0.628319,0.628319,1.213782e-02,0.6450,7.996346e-06
-0.628319,0.942478,4.100193e-03,0.2240,8.192577e-06
-0.628319,1.256637,4.295290e-03,0.2344,1.058094e-05
-0.314159,0.000000,2.338560e-02,0.9387,3.092116e-06
-0.314159,0.314159,2.569811e-02,0.9750,3.484416e-05
-0.314159,0.628319,1.776083e-02,0.9122,3.915670e-05
-0.314159,0.942478,4.714120e-03,0.2400,3.608035e-05
-0.314159,1.256637,2.361517e-03,0.1334,2.278829e-05
0.000000,0.000000,-7.716679e-03,0.2431,2.378614e-07
0.000000,0.314159,2.028559e-02,0.7675,2.417845e-05
0.000000,0.628319,1.055054e-02,0.3582,1.929392e-05
0.000000,0.942478,9.910857e-05,0.0039,3.030496e-05
0.000000,1.256637,-2.775698e-04,0.0101,5.018679e-05
0.314159,0.000000,2.338560e-02,0.9387,3.092116e-06
0.314159,0.314159,2.569811e-02,0.9750,3.484416e-05
0.314159,0.628319,1.776083e-02,0.9122,3.915670e-05
0.314159,0.942478,4.714120e-03,0.2400,3.608035e-05
0.314159,1.256637,2.361517e-03,0.1334,2.278829e-05
0.628319,0.000000,2.221519e-02,0.9222,1.671183e-06
0.628319,0.314159,2.377479e-02,0.9180,9.968671e-06
0.628319,0.628319,1.213782e-02,0.6450,7.996346e-06
0.628319,0.942478,4.100193e-03,0.2240,8.192577e-06
0.628319,1.256637,4.295290e-03,0.2344,1.058094e-05
0.942478,0.000000,6.639353e-03,0.2037,8.600252e-07
0.942478,0.314159,9.036667e-03,0.4446,1.354978e-06
0.942478,0.628319,1.530816e-03,0.0900,1.630006e-05
0.942478,0.942478,-1.298783e-03,0.0722,2.400375e-05
0.942478,1.256637,-2.469416e-03,0.1376,2.483299e-05
1.256637,0.000000,4.927282e-03,0.1605,5.384683e-07
1.256637,0.314159,1.537625e-03,0.0846,2.858691e-06
1.256637,0.628319,3.104792e-04,0.0180,1.104887e-05
1.256637,0.942478,-1.465088e-03,0.0845,2.265026e-05
1.256637,1.256637,-1.659520e-03,0.1029,3.266406e-05
