step,omega_ci_t,E_kin_bulk,E_kin_thermal,E_internal_i,E_internal_e,E_B,E_total,energy_error
0,0.0,8.572439331829827e-08,0.039954590259996155,0.039954590259996155,nan,1.598721158438076e-18,0.039954675984389475,0.0
10000,1.3194444444444444,3.5028400567530915e-07,0.03994550829026918,0.03994550829026918,nan,2.5702331874329245e-07,0.039946115597593604,-0.00021425243941949217
20000,2.638888888888889,2.2641706160627105e-07,0.040114872278835104,0.040114872278835104,nan,3.300654189145701e-07,0.04011542876131562,0.004023378314692267
30000,3.958333333333334,4.5934875312656276e-08,0.03964507590342865,0.03964507590342865,nan,3.735183038259182e-07,0.039645495356607795,-0.007738283947102428
40000,5.277777777777778,4.0659616003221165e-09,0.040134716631608607,0.040134716631608607,nan,4.0571828922920394e-07,0.04013512641585944,0.004516378296759699
50000,6.597222222222222,4.029472524631386e-07,0.039431672313154344,0.03943167231315435,nan,4.302068288594277e-07,0.039432505467235666,-0.013069071498860942
60000,7.916666666666668,1.0675551033577318e-07,0.03926488666191254,0.03926488666191253,nan,4.589851061597005e-07,0.03926545240252903,-0.01725013568198446
70000,9.23611111111111,2.73745571187823e-07,0.03925640479990701,0.03925640479990701,nan,4.799210683367325e-07,0.03925715846654654,-0.01745771929461926
80000,10.555555555555555,6.104227743156594e-08,0.038950098836108824,0.038950098836108824,nan,5.060617537916191e-07,0.03895066594014005,-0.025128724473743595
90000,11.875,1.4944150503870567e-07,0.039065639662006706,0.0390656396620067,nan,5.311056042837518e-07,0.039066320209116025,-0.02223408783543973
100000,13.194444444444445,7.187828557687915e-08,0.039225584420165896,0.0392255844201659,nan,5.537616089620376e-07,0.03922621006006043,-0.018232307142564675
110000,14.513888888888888,1.8691362635708072e-08,0.038720454552176764,0.038720454552176764,nan,5.769549626240035e-07,0.03872105019850203,-0.0308756298354023
120000,15.833333333333336,1.1766817376541975e-08,0.0388654121698591,0.038865412169859094,nan,5.979512121515869e-07,0.038866021887888624,-0.027247226255224643
130000,17.15277777777778,1.4366360423699535e-07,0.038854298580013324,0.038854298580013324,nan,6.191727961872081e-07,0.03885506141641375,-0.027521548877166555
140000,18.47222222222222,3.2735175428804574e-08,0.03855958443079121,0.0385595844307912,nan,6.415341610017739e-07,0.03856025870012764,-0.03489997728442694
150000,19.791666666666668,2.88686383467595e-07,0.03866417387222671,0.038664173872226704,nan,6.618261578540446e-07,0.03866512438476803,-0.03227536121492458
160000,21.11111111111111,1.1490240904406856e-07,0.03844878232374779,0.03844878232374779,nan,6.830617921620083e-07,0.038449580287949,-0.03767007638926974
170000,22.430555555555557,2.2367069336913382e-07,0.038461994676153716,0.038461994676153716,nan,7.071425691572957e-07,0.038462925489416246,-0.037336067887424856
180000,23.75,3.812762354379595e-07,0.0382483209466547,0.038248320946654694,nan,7.236175432825512e-07,0.03824942584043342,-0.04267961388605191
190000,25.069444444444446,2.7082726903547966e-07,0.03816318779973246,0.03816318779973246,nan,7.482909096868242e-07,0.038164206917911184,-0.04481250372741948
200000,26.38888888888889,9.13170542055953e-08,0.03817270101395843,0.03817270101395843,nan,7.684970329297825e-07,0.03817356082804556,-0.044578390700497954
210000,27.708333333333332,2.1038043439273106e-07,0.037984605387670706,0.037984605387670706,nan,7.912771596835129e-07,0.03798560704526478,-0.04928256557240056
220000,29.027777777777775,4.1126786266221383e-07,0.037990704515985636,0.03799070451598564,nan,8.151673127852703e-07,0.03799193095116108,-0.04912428858127269
230000,30.34722222222222,2.7827412347728797e-08,0.037828354950873264,0.03782835495087326,nan,8.361076062669129e-07,0.03782921888589188,-0.05319670466926136
240000,31.66666666666667,1.9812602401068293e-08,0.03782242656454383,0.03782242656454383,nan,8.577315186226018e-07,0.03782330410866485,-0.05334474184091404
250000,32.986111111111114,2.4973493715630105e-07,0.03783062747622796,0.03783062747622795,nan,8.752702894436348e-07,0.03783175248145455,-0.053133292928326095
260000,34.30555555555556,2.5064060128860385e-07,0.037602826420012926,0.03760282642001293,nan,8.991226036128143e-07,0.03760397618321783,-0.058834160038992174
270000,35.625,4.921605145336024e-08,0.037459460074527544,0.037459460074527544,nan,9.240246845311144e-07,0.03746043331526353,-0.06242680256249501
280000,36.94444444444444,7.109421577348968e-07,0.037523247481334294,0.03752324748133429,nan,9.439937685351509e-07,0.037524902417260565,-0.06081324669178236
