step,omega_ci_t,delta_B_rms,delta_B_rms_over_B0,delta_B_parallel_rms,delta_B_parallel_rms_over_B0,delta_B_perp_rms,delta_B_perp_rms_over_B0,B_min,mirror_depth,mirror_area_fraction,magnetic_energy_fluct
0,0.0,1.7881393449270535e-09,2.235174181158817e-08,1.7881393449270535e-09,2.235174181158817e-08,0.0,0.0,0.07999999821186066,2.2351741790771484e-08,1.0,1.598721158438076e-18
500,0.06597222222222222,0.00042217462409088345,0.005277182801136043,0.0004219284316388544,0.00527410539548568,0.001255387299135874,0.015692341239198423,0.07814500427948995,0.02318744650637561,0.1528832706404321,8.911570661313936e-08
1000,0.13194444444444445,0.00045747383269592937,0.005718422908699117,0.00045705407347998884,0.00571317591849986,0.0014564680060623633,0.01820585007577954,0.0777955214053398,0.027555982433252524,0.15224428530092593,1.046411538007516e-07
1500,0.19791666666666669,0.0004863282672692324,0.006079103340865405,0.0004857406972881715,0.006071758716102144,0.001552160088594059,0.019402001107425737,0.07772043448416356,0.028494568947955545,0.1507372444058642,1.1825759177254697e-07
2000,0.2638888888888889,0.000514967508415133,0.006437093855189162,0.0005144697304301776,0.00643087163037722,0.0016051835801192146,0.020064794751490183,0.07768112825323274,0.02898589683459074,0.152099609375,1.3259576736164504e-07
2500,0.3298611111111111,0.0005383894794772006,0.006729868493465007,0.0005378262204169509,0.006722827755211886,0.0016397173619616605,0.020496467024520754,0.07749219550960226,0.031347556129971754,0.15085479359567902,1.449316158058655e-07
3000,0.39583333333333337,0.0005592434259069836,0.006990542823837294,0.0005587160451878543,0.006983950564848179,0.001660672246229578,0.020758403077869723,0.07726242473247394,0.034219690844075834,0.15067696277006173,1.563766047100899e-07
3500,0.4618055555555556,0.0005789055958212914,0.007236319947766142,0.0005784145784902013,0.007230182231127516,0.0016719466089777355,0.020899332612221693,0.07747838391876735,0.03152020101540809,0.1518042293595679,1.6756584443660218e-07
4000,0.5277777777777778,0.0005956482669428928,0.007445603336786159,0.0005951000757535915,0.007438750946919894,0.0016875397125101286,0.021094246406376607,0.07714834205636095,0.03564572429548807,0.1514063705632716,1.773984289560358e-07
4500,0.59375,0.000608021654565141,0.007600270682064262,0.0006074503178692297,0.007593128973365371,0.001695828288448317,0.021197853605603962,0.07725468485810973,0.034316439273628485,0.15155104648919754,1.848451662100658e-07
5000,0.6597222222222222,0.000623410892946389,0.0077926361618298615,0.0006229115329779724,0.007786394162224655,0.0017006314881561598,0.021257893601951995,0.07727857388006197,0.034017826499225357,0.15255172164351852,1.9432057072210703e-07
