step,omega_ci_t,region,q_parallel_mean,q_parallel_abs_mean,q_perp_mean,q_perp_abs_mean
0,0.0,low_y_low_z,2.9233644353187922e-09,3.6240350904735875e-06,1.5987099449440234e-05,1.5987099449440234e-05
0,0.0,low_y_high_z,-1.8573593789522945e-08,3.627400916838771e-06,1.606619617896673e-05,1.606619617896673e-05
0,0.0,high_y_low_z,5.708271571445737e-09,3.6206151571039364e-06,1.6080358904928928e-05,1.6080358904928928e-05
0,0.0,high_y_high_z,7.2401882115177764e-09,3.6077935133327472e-06,1.5977619749531838e-05,1.5977619749531838e-05
500,0.06597222222222222,low_y_low_z,4.733460361021094e-09,2.401276150725453e-06,1.0616191165506449e-05,1.0616191165506449e-05
500,0.06597222222222222,low_y_high_z,-1.8982335877441892e-08,2.4112880691553835e-06,1.0644773601625784e-05,1.0644773601625784e-05
500,0.06597222222222222,high_y_low_z,3.2427406720061994e-09,2.4053646224884967e-06,1.065144905528606e-05,1.065144905528606e-05
500,0.06597222222222222,high_y_high_z,4.663958836101167e-09,2.4048355136548317e-06,1.062132436204584e-05,1.062132436204584e-05
1000,0.13194444444444445,low_y_low_z,7.541328624089845e-10,2.3994477151060153e-06,1.0667198965525783e-05,1.0667198965525783e-05
1000,0.13194444444444445,low_y_high_z,-1.9912333837206088e-08,2.4096973771931833e-06,1.063276204293773e-05,1.063276204293773e-05
1000,0.13194444444444445,high_y_low_z,4.6555778545658374e-10,2.409774715680525e-06,1.0642963725433507e-05,1.0642963725433507e-05
1000,0.13194444444444445,high_y_high_z,8.90573380953911e-09,2.411512621495162e-06,1.0642309746544691e-05,1.0642309746544691e-05
1500,0.19791666666666669,low_y_low_z,1.4607602814441217e-09,2.40377507279888e-06,1.0645164419025221e-05,1.0645164419025221e-05
1500,0.19791666666666669,low_y_high_z,-1.218413612085999e-08,2.4057816758156034e-06,1.0625475842687916e-05,1.0625475842687916e-05
1500,0.19791666666666669,high_y_low_z,-2.2151179755122985e-09,2.39640415177143e-06,1.0671749940431829e-05,1.0671749940431829e-05
1500,0.19791666666666669,high_y_high_z,7.545286027397009e-09,2.4146941711201093e-06,1.0649920430842781e-05,1.0649920430842781e-05
2000,0.2638888888888889,low_y_low_z,3.2812641585615468e-09,2.3984785535381086e-06,1.0611877902885896e-05,1.0611877902885896e-05
2000,0.2638888888888889,low_y_high_z,-1.2159927894909156e-08,2.396525803149868e-06,1.066124390543525e-05,1.066124390543525e-05
2000,0.2638888888888889,high_y_low_z,-1.5967842169407727e-10,2.4072618412728947e-06,1.0655792538829866e-05,1.0655792538829866e-05
2000,0.2638888888888889,high_y_high_z,3.2833827890794023e-09,2.418196680143667e-06,1.0679771148063712e-05,1.0679771148063712e-05
2500,0.3298611111111111,low_y_low_z,6.402124944167256e-09,2.4182594827799843e-06,1.0635025702185852e-05,1.0635025702185852e-05
2500,0.3298611111111111,low_y_high_z,-1.2515072805520545e-08,2.4101630866171685e-06,1.0659970159828067e-05,1.0659970159828067e-05
2500,0.3298611111111111,high_y_low_z,1.1432893185830286e-09,2.417489219782376e-06,1.0624823501189844e-05,1.0624823501189844e-05
2500,0.3298611111111111,high_y_high_z,9.46880157460288e-10,2.4193677813292756e-06,1.0635690155573405e-05,1.0635690155573405e-05
3000,0.39583333333333337,low_y_low_z,1.101719392947511e-08,2.3982748363577534e-06,1.0693143075123073e-05,1.0693143075123073e-05
3000,0.39583333333333337,low_y_high_z,-1.1316224634646942e-08,2.4121038799774794e-06,1.0659621926882167e-05,1.0659621926882167e-05
3000,0.39583333333333337,high_y_low_z,-5.340326814679252e-09,2.401726201939906e-06,1.0640427447515564e-05,1.0640427447515564e-05
3000,0.39583333333333337,high_y_high_z,-1.2289439724081422e-09,2.410686225650712e-06,1.064211955378444e-05,1.064211955378444e-05
3500,0.4618055555555556,low_y_low_z,8.082274846128057e-09,2.421398171977404e-06,1.0666320693564868e-05,1.0666320693564868e-05
3500,0.4618055555555556,low_y_high_z,-1.6036768734991792e-08,2.401914659160688e-06,1.0660422172731716e-05,1.0660422172731716e-05
3500,0.4618055555555556,high_y_low_z,-4.551039546289064e-09,2.3972249160926437e-06,1.062406326325537e-05,1.062406326325537e-05
3500,0.4618055555555556,high_y_high_z,4.5900382918747156e-09,2.408961679583816e-06,1.0655849310360056e-05,1.0655849310360056e-05
4000,0.5277777777777778,low_y_low_z,7.631775657839307e-09,2.4099768924953765e-06,1.0643122956870515e-05,1.0643122956870515e-05
4000,0.5277777777777778,low_y_high_z,-1.6453435694052035e-08,2.4076935574242242e-06,1.0618951450382286e-05,1.0618951450382286e-05
4000,0.5277777777777778,high_y_low_z,-7.684407855489514e-09,2.412112979743608e-06,1.0655773175139942e-05,1.0655773175139942e-05
4000,0.5277777777777778,high_y_high_z,1.0574610621977999e-08,2.4071172814839655e-06,1.0626863666171308e-05,1.0626863666171308e-05
4500,0.59375,low_y_low_z,3.1324033371439245e-09,2.416633510322385e-06,1.0655049617120027e-05,1.0655049617120027e-05
4500,0.59375,low_y_high_z,-1.3183597287477766e-08,2.4103181156765902e-06,1.0658428862794434e-05,1.0658428862794434e-05
4500,0.59375,high_y_low_z,-4.002983036295614e-09,2.4117262729165732e-06,1.0634357873119461e-05,1.0634357873119461e-05
4500,0.59375,high_y_high_z,4.954969658278297e-09,2.41149622640723e-06,1.0654629762899556e-05,1.0654629762899556e-05
5000,0.6597222222222222,low_y_low_z,2.3546422793922467e-09,2.4156946833833717e-06,1.0668128399393757e-05,1.0668128399393757e-05
5000,0.6597222222222222,low_y_high_z,-1.1920467758616556e-08,2.399704342736938e-06,1.0624246021843931e-05,1.0624246021843931e-05
5000,0.6597222222222222,high_y_low_z,1.887144848748866e-09,2.4028735933531803e-06,1.0627055911244071e-05,1.0627055911244071e-05
5000,0.6597222222222222,high_y_high_z,2.170005601816323e-09,2.419229784171651e-06,1.0644015126088545e-05,1.0644015126088545e-05
5500,0.7256944444444444,low_y_low_z,5.608771782038954e-09,2.4177305132259086e-06,1.0631277994394994e-05,1.0631277994394994e-05
5500,0.7256944444444444,low_y_high_z,-7.68395707529607e-09,2.397700172534354e-06,1.0660293238019085e-05,1.0660293238019085e-05
5500,0.7256944444444444,high_y_low_z,-5.77414442558553e-10,2.394545830041521e-06,1.0642012960742028e-05,1.0642012960742028e-05
5500,0.7256944444444444,high_y_high_z,-2.428214734561914e-09,2.4073879813593283e-06,1.0649706693702734e-05,1.0649706693702734e-05
6000,0.7916666666666667,low_y_low_z,7.560424937950341e-09,2.3967588918729104e-06,1.066351548063811e-05,1.066351548063811e-05
6000,0.7916666666666667,low_y_high_z,-1.4738697861801011e-09,2.398826939596179e-06,1.0661552723362805e-05,1.0661552723362805e-05
6000,0.7916666666666667,high_y_low_z,-2.3673423149300394e-09,2.4084188263368066e-06,1.0620656784680597e-05,1.0620656784680597e-05
6000,0.7916666666666667,high_y_high_z,-2.172281473623215e-09,2.404242286317709e-06,1.0661343955648133e-05,1.0661343955648133e-05
6500,0.857638888888889,low_y_low_z,4.637773961648337e-09,2.407292239879003e-06,1.0657276810813501e-05,1.0657276810813501e-05
6500,0.857638888888889,low_y_high_z,-5.518505044139374e-09,2.409417388081438e-06,1.0638207438849925e-05,1.0638207438849925e-05
6500,0.857638888888889,high_y_low_z,2.852491553262585e-09,2.41455723151079e-06,1.0627890108893956e-05,1.0627890108893956e-05
6500,0.857638888888889,high_y_high_z,-5.504252060822845e-09,2.4074044355914968e-06,1.0637376002829478e-05,1.0637376002829478e-05
7000,0.9236111111111112,low_y_low_z,2.019775802450365e-09,2.390507619608057e-06,1.06621835995291e-05,1.06621835995291e-05
7000,0.9236111111111112,low_y_high_z,-1.394032542959089e-08,2.3906310587796784e-06,1.0590218363295379e-05,1.0590218363295379e-05
7000,0.9236111111111112,high_y_low_z,9.759178313942017e-09,2.4008564738588373e-06,1.0624402521383741e-05,1.0624402521383741e-05
7000,0.9236111111111112,high_y_high_z,-1.7611454597118075e-09,2.4122267940680455e-06,1.0636203563278633e-05,1.0636203563278633e-05
7500,0.9895833333333335,low_y_low_z,7.356486810579284e-09,2.4127554233067896e-06,1.066922660836981e-05,1.066922660836981e-05
7500,0.9895833333333335,low_y_high_z,-1.030803580706815e-08,2.412215889887619e-06,1.0630514032405732e-05,1.0630514032405732e-05
7500,0.9895833333333335,high_y_low_z,6.142880917174838e-09,2.407874910335124e-06,1.0652082208926765e-05,1.0652082208926765e-05
