case,species,step,omega_ci_t,anisotropy_global,parallel_over_perpendicular_global,anisotropy_median,anisotropy_p25,anisotropy_p75,beta_parallel_global,beta_parallel_median,beta_parallel_p25,beta_parallel_p75,marginal_threshold,instability_drive,valid_cells
Mirror Moderate Bi-Maxwellian,ion,0,0.0,1.9995625019073486,0.5001093984539703,2.0000550746917725,1.9276078939437866,2.0755045413970947,4.994213581085205,4.991099834442139,4.841169834136963,5.143021583557129,1.2002317249280932,0.7993307769792555,331776
Mirror Moderate Bi-Maxwellian,ion,500,0.06597222222222222,1.9991878271102905,0.5002031257090244,1.9997366666793823,1.9511957168579102,2.049232006072998,4.995924949645996,4.99379825592041,4.871181011199951,5.118742942810059,1.2001631349708042,0.7990246921394863,331776
Mirror Moderate Bi-Maxwellian,ion,1000,0.13194444444444445,1.9991430044174194,0.5002143407401789,1.999688982963562,1.9507755041122437,2.0496559143066406,4.995087623596191,4.993192672729492,4.8691253662109375,5.118798732757568,1.2001966882975428,0.7989463161198767,331776
Mirror Moderate Bi-Maxwellian,ion,1500,0.19791666666666669,1.9991748332977295,0.5002063768232089,1.9995461702346802,1.9509974718093872,2.0491631031036377,4.994267463684082,4.992447853088379,4.868178367614746,5.118342399597168,1.2002295646501755,0.798945268647554,331776
Mirror Moderate Bi-Maxwellian,ion,2000,0.2638888888888889,1.99921715259552,0.5001957884873746,1.9996306896209717,1.9511154890060425,2.0492961406707764,4.9934821128845215,4.9914231300354,4.866702079772949,5.118316173553467,1.2002610557910545,0.7989560968044656,331776
Mirror Moderate Bi-Maxwellian,ion,2500,0.3298611111111111,1.9993038177490234,0.500174106167556,1.9997344017028809,1.9509406089782715,2.049571990966797,4.992671966552734,4.990593910217285,4.865167140960693,5.118144512176514,1.2002935515690338,0.7990102661799896,331776
Mirror Moderate Bi-Maxwellian,ion,3000,0.39583333333333337,1.9993778467178345,0.5001555867199357,1.9995653629302979,1.9510918855667114,2.049891948699951,4.991872310638428,4.990229606628418,4.864586353302002,5.117628574371338,1.200325636909592,0.7990522098082424,331776
Mirror Moderate Bi-Maxwellian,ion,3500,0.4618055555555556,1.9994711875915527,0.5001322380666771,1.9999250173568726,1.9511605501174927,2.049750566482544,4.991062164306641,4.9891743659973145,4.863607406616211,5.116176605224609,1.2003581536514323,0.7991130339401205,331776
Mirror Moderate Bi-Maxwellian,ion,4000,0.5277777777777778,1.999563455581665,0.5001091599311631,2.0000200271606445,1.9512544870376587,2.0499637126922607,4.990251064300537,4.9880828857421875,4.8628363609313965,5.116333961486816,1.2003907192473422,0.7991727363343228,331776
Mirror Moderate Bi-Maxwellian,ion,4500,0.59375,1.9996498823165894,0.5000875447463345,2.0000834465026855,1.9514050483703613,2.0499117374420166,4.989482879638672,4.987563133239746,4.8615522384643555,5.115593433380127,1.200421571558217,0.7992283107583724,331776
Mirror Moderate Bi-Maxwellian,ion,5000,0.6597222222222222,1.9997440576553345,0.5000639937755249,2.0001115798950195,1.951469898223877,2.050100803375244,4.988693714141846,4.986665725708008,4.860686302185059,5.115322113037109,1.2004532764088565,0.799290781246478,331776
Mirror Moderate Bi-Maxwellian,ion,5500,0.7256944444444444,1.9998388290405273,0.5000402959871396,2.000204563140869,1.951682209968567,2.050225019454956,4.987907886505127,4.986140251159668,4.859850883483887,5.114602565765381,1.200484857129282,0.7993539719112452,331776
Mirror Moderate Bi-Maxwellian,ion,6000,0.7916666666666667,1.9999260902404785,0.5000184781227371,2.0003533363342285,1.95154869556427,2.050464630126953,4.9871368408203125,4.984979629516602,4.858478546142578,5.114531517028809,1.2005158534682425,0.799410236772236,331776
Mirror Moderate Bi-Maxwellian,ion,6500,0.857638888888889,2.0000245571136475,0.49999386079696867,2.000394821166992,1.9517219066619873,2.0502164363861084,4.986348628997803,4.983955383300781,4.858007431030273,5.113995552062988,1.2005475498011835,0.799477007312464,331776
Mirror Moderate Bi-Maxwellian,ion,7000,0.9236111111111112,2.0001206398010254,0.4999698418688791,2.0005722045898438,1.9517487287521362,2.0503623485565186,4.985566139221191,4.983745574951172,4.856385231018066,5.113699913024902,1.200579025947134,0.7995416138538913,331776
Mirror Moderate Bi-Maxwellian,ion,7500,0.9895833333333335,2.0002007484436035,0.4999498179260857,2.00071120262146,1.9518011808395386,2.050774097442627,4.9848151206970215,4.982776165008545,4.855748653411865,5.112308025360107,1.2006092454358008,0.7995915030078027,331776
Mirror Moderate Bi-Maxwellian,ion,8000,1.0555555555555556,2.000283718109131,0.4999290805332858,2.0006580352783203,1.9519022703170776,2.050522804260254,4.984050750732422,4.981640815734863,4.854682445526123,5.112342834472656,1.2006400115113287,0.7996437065978022,331776
