kpar_di,kperp_di,gamma_oci,rvalue,final_power
0.000000,0.000000,3.268619e-02,0.9467,1.423696e-05
0.000000,0.314159,3.805445e-02,0.9249,3.515918e-05
0.000000,0.628319,2.971523e-02,0.7858,2.001918e-05
0.000000,0.942478,2.374187e-03,0.0830,2.239647e-06
0.000000,1.256637,5.905027e-03,0.2231,1.772745e-05
0.314159,0.000000,2.778344e-02,0.9517,3.004997e-05
0.314159,0.314159,2.687644e-02,0.9323,7.246470e-05
0.314159,0.628319,2.109502e-02,0.8177,9.992441e-05
0.314159,0.942478,-6.782849e-04,0.0400,6.682823e-06
0.314159,1.256637,-1.002704e-04,0.0067,5.402830e-05
0.628319,0.000000,2.649534e-02,0.9238,7.713837e-06
0.628319,0.314159,2.276216e-02,0.9227,4.876453e-05
0.628319,0.628319,1.240699e-02,0.6965,8.827810e-05
0.628319,0.942478,-1.202997e-03,0.0634,2.547924e-05
0.628319,1.256637,-2.380105e-03,0.1330,5.818239e-05
0.942478,0.000000,1.578314e-02,0.5088,1.295111e-06
0.942478,0.314159,5.643697e-03,0.2790,1.820331e-05
0.942478,0.628319,1.070524e-03,0.0591,7.325444e-05
0.942478,0.942478,-2.306403e-03,0.1267,4.857523e-05
0.942478,1.256637,-3.534195e-03,0.1856,2.530424e-06
1.256637,0.000000,3.927021e-03,0.1555,2.702478e-06
1.256637,0.314159,1.281782e-03,0.0795,4.144566e-06
1.256637,0.628319,1.173077e-03,0.0761,3.696578e-05
1.256637,0.942478,-1.838701e-03,0.1135,6.290921e-05
1.256637,1.256637,-3.014394e-03,0.1917,6.130090e-05
