step,omega_ci_t,mean,median,valid_cells
500,0.06597222222222222,2.0009472232778425,1.999736745364761,331776
1000,0.13194444444444445,2.0009194081884356,1.9996888280400544,331776
1500,0.19791666666666669,2.000934712729742,1.9995461053287196,331776
2000,0.2638888888888889,2.000985207547163,1.999630872455462,331776
2500,0.3298611111111111,2.0010725152488895,1.999734081322309,331776
3000,0.39583333333333337,2.001152589862309,1.9995652061536513,331776
3500,0.4618055555555556,2.001239845349066,1.9999250433357303,331776
4000,0.5277777777777778,2.0013431189126587,2.0000201562102395,331776
4500,0.59375,2.001420871663594,2.000083563491447,331776
5000,0.6597222222222222,2.0015160483431895,2.000111991955605,331776
5500,0.7256944444444444,2.001613397159723,2.000204792346115,331776
6000,0.7916666666666667,2.0017077541993396,2.000353239883535,331776
6500,0.857638888888889,2.0017908596429077,2.000395053731345,331776
7000,0.9236111111111112,2.001900417880509,2.0005724154881177,331776
7500,0.9895833333333335,2.001977770153588,2.000711057673557,331776
8000,1.0555555555555556,2.0020564907041165,2.0006584051139513,331776
8500,1.121527777777778,2.002159051600173,2.000806129924903,331776
9000,1.1875,2.0022516533647807,2.0009556892851768,331776
9500,1.2534722222222223,2.002359996396555,2.0009821314698,331776
10000,1.3194444444444444,2.0024506346062436,2.00098034574877,331776
10500,1.3854166666666667,2.0025441994963593,2.000924495505363,331776
11000,1.4513888888888888,2.002633881314014,2.0011531276114045,331776
11500,1.5173611111111112,2.002711676663654,2.001205360719754,331776
12000,1.5833333333333335,2.0028106483346195,2.0014946882914386,331776
12500,1.6493055555555556,2.0029132713851587,2.001699250014103,331776
13000,1.715277777777778,2.0029888000515217,2.0017377493683894,331776
13500,1.78125,2.0030932089038838,2.00152680338362,331776
14000,1.8472222222222223,2.003180422164821,2.00198106956885,331776
14500,1.9131944444444446,2.0032556928455345,2.0019298258340363,331776
15000,1.979166666666667,2.003340385084703,2.001784913122791,331776
15500,2.045138888888889,2.00340889459917,2.002107049970435,331776
16000,2.111111111111111,2.0035183275854087,2.0021878715294,331776
16500,2.1770833333333335,2.003617365715427,2.0021733184940853,331776
17000,2.243055555555556,2.0036725065212933,2.002339918704558,331776
17500,2.3090277777777777,2.0037771172698045,2.0022292103576667,331776
18000,2.375,2.003859379802267,2.00253068228768,331776
18500,2.4409722222222223,2.0039592421462484,2.002513936842522,331776
19000,2.5069444444444446,2.004045767143425,2.002753147220938,331776
19500,2.572916666666667,2.004123026024332,2.002846980863966,331776
20000,2.638888888888889,2.004220113885581,2.0029647003556277,331776
20500,2.704861111111111,2.0043158711604327,2.003022798100793,331776
21000,2.7708333333333335,2.004389173408942,2.0029794242455727,331776
21500,2.836805555555556,2.0044944826806717,2.0032967684338407,331776
22000,2.9027777777777777,2.0045789323034735,2.0031034011639814,331776
22500,2.96875,2.004678472753148,2.0032345401239953,331776
23000,3.0347222222222223,2.004761005853991,2.0033916341581555,331776
23500,3.1006944444444446,2.0048298875194153,2.0033052820198742,331776
24000,3.166666666666667,2.0049180526014614,2.0033559198048363,331776
24500,3.232638888888889,2.00498840005027,2.003538128047164,331776
25000,3.298611111111111,2.0050858766708215,2.003775184107948,331776
25500,3.364583333333334,2.0051849925221497,2.0037652790980127,331776
26000,3.430555555555556,2.0052537792535756,2.003873081792606,331776
26500,3.4965277777777777,2.005343145943794,2.003701225186753,331776
27000,3.5625,2.0054240233825595,2.0040211537977655,331776
27500,3.628472222222222,2.00550699257939,2.003935900768252,331776
28000,3.6944444444444446,2.0055944910632264,2.004066271210271,331776
28500,3.7604166666666665,2.005681970808173,2.0043847727223216,331776
29000,3.8263888888888893,2.0057772553240283,2.00452226200733,331776
29500,3.892361111111111,2.0058449577469237,2.004492338265851,331776
30000,3.958333333333334,2.005939900445343,2.0046165646249685,331776
30500,4.024305555555555,2.0060282098515603,2.0047324787191654,331776
31000,4.090277777777778,2.0061179203650203,2.0047180845014845,331776
31500,4.15625,2.006181757205369,2.0048057566086026,331776
32000,4.222222222222222,2.006264715270517,2.0046692000798743,331776
32500,4.288194444444445,2.0063548456455957,2.0049628281451293,331776
33000,4.354166666666667,2.006437771286012,2.00500340323019,331776
33500,4.420138888888889,2.006533172830772,2.0051314945936984,331776
34000,4.486111111111112,2.0065957688859193,2.005363867081882,331776
34500,4.552083333333334,2.006687444916362,2.00535466623647,331776
35000,4.618055555555555,2.0067534000761564,2.0052722936466045,331776
35500,4.684027777777778,2.006846199099599,2.0054769450839225,331776
36000,4.75,2.006917834319392,2.0053476103657983,331776
36500,4.815972222222222,2.0070158231192754,2.0056600334520427,331776
37000,4.881944444444445,2.007102240415414,2.0057718608147086,331776
37500,4.947916666666667,2.0071699183323126,2.005697433633047,331776
38000,5.013888888888889,2.0072716965424426,2.005888503619676,331776
38500,5.079861111111112,2.007336651986715,2.00597411451563,331776
39000,5.145833333333334,2.007425310834372,2.006044405378898,331776
39500,5.211805555555555,2.007475894423923,2.0061093192670194,331776
40000,5.277777777777778,2.007562304657051,2.0062348616552095,331776
40500,5.34375,2.007641691061283,2.0061680981085717,331776
41000,5.409722222222222,2.007732384089718,2.006228005702342,331776
41500,5.475694444444445,2.0078095890278447,2.006344507883439,331776
42000,5.541666666666667,2.007883167591204,2.006593332015684,331776
42500,5.607638888888889,2.007956276100631,2.006584262296853,331776
43000,5.673611111111112,2.00803070298515,2.0067781748789413,331776
43500,5.739583333333334,2.0081100296482113,2.006719454836785,331776
44000,5.805555555555555,2.00819241321719,2.0068454695149667,331776
44500,5.871527777777778,2.0082716164763883,2.007036223949865,331776
45000,5.9375,2.008358014139758,2.0070304830204106,331776
45500,6.003472222222222,2.0084184017130653,2.006837571072134,331776
46000,6.069444444444445,2.0084954319996697,2.0072790972684595,331776
46500,6.135416666666667,2.008587872598374,2.0072327122793236,331776
47000,6.201388888888889,2.0086442640961604,2.0074115244929738,331776
47500,6.267361111111112,2.008709568184951,2.007213363925919,331776
48000,6.333333333333334,2.0088032065672814,2.0073666044267573,331776
48500,6.399305555555555,2.008861500268836,2.007336478745233,331776
49000,6.465277777777778,2.008950522741346,2.0074268251985403,331776
49500,6.53125,2.009025251392356,2.0076894982596984,331776
50000,6.597222222222222,2.0090829838537836,2.0077428549902328,331776
50500,6.663194444444444,2.009172771951635,2.0078372904017945,331776
51000,6.729166666666668,2.0092402162209897,2.0079553252713436,331776
51500,6.795138888888889,2.009329091781354,2.007909004572608,331776
52000,6.861111111111112,2.0094101356809935,2.0081566411458147,331776
52500,6.927083333333333,2.009472109240225,2.008106726695524,331776
53000,6.993055555555555,2.0095798423879296,2.0081466687236023,331776
53500,7.059027777777779,2.0096208492034617,2.008340092783576,331776
54000,7.125,2.0097114915647216,2.008404067492379,331776
54500,7.190972222222222,2.009768216411474,2.0083924826816992,331776
55000,7.256944444444444,2.00984159469956,2.008657402162781,331776
55500,7.322916666666668,2.0099060726243287,2.008623842212213,331776
56000,7.388888888888889,2.0099999232748815,2.008651215233049,331776
56500,7.454861111111112,2.0100756797500368,2.008635308075167,331776
57000,7.520833333333333,2.0101289211440254,2.0088393643274163,331776
57500,7.586805555555555,2.0101923662436545,2.008835302079082,331776
58000,7.652777777777779,2.010273540101552,2.0089134755450164,331776
