step,omega_ci_t,delta_B_rms,delta_B_rms_over_B0,delta_B_parallel_rms,delta_B_parallel_rms_over_B0,delta_B_perp_rms,delta_B_perp_rms_over_B0,B_min,mirror_depth,mirror_area_fraction,magnetic_energy_fluct
0,0.0,1.7881393449270535e-09,2.235174181158817e-08,1.7881393449270535e-09,2.235174181158817e-08,0.0,0.0,0.07999999821186066,2.2351741790771484e-08,1.0,1.598721158438076e-18
500,0.06597222222222222,0.00039868940075962056,0.004983617509495257,0.00039852772516087696,0.004981596564510962,0.0011467515884371815,0.014334394855464769,0.07826618463520926,0.021672692059884202,0.15287724247685186,7.947661913903267e-08
1000,0.13194444444444445,0.00042171680244682745,0.005271460030585343,0.00042139658670129176,0.005267457333766147,0.001310867742265661,0.01638584677832076,0.07811306380632212,0.023586702420973604,0.15277174961419754,8.892253073298824e-08
1500,0.19791666666666669,0.00043834303762942665,0.005479287970367833,0.00043794413063957013,0.005474301632994626,0.0013892371444615143,0.017365464305768928,0.07761353750384017,0.02983078120199789,0.15170476466049382,9.607230931909647e-08
2000,0.2638888888888889,0.000455324528509447,0.005691556606368087,0.00045491734574765034,0.005686466821845629,0.001439467357204494,0.017993341965056173,0.0777419404339421,0.0282257445757238,0.15164146894290123,1.036602131311751e-07
2500,0.3298611111111111,0.00046985907398226567,0.00587323842477832,0.0004694501740330986,0.005868127175413732,0.001464677882340417,0.01830847352925521,0.07779667418553843,0.02754157268076962,0.1512647087191358,1.1038377470173611e-07
3000,0.39583333333333337,0.0004816826382637049,0.006021032978296311,0.00048122546612111463,0.006015318326513933,0.0014876306165307056,0.018595382706633818,0.07774727091434235,0.02815911357072065,0.15137321566358025,1.1600908200234159e-07
3500,0.4618055555555556,0.0004920714645492687,0.006150893306865858,0.0004916861390256176,0.00614607673782022,0.001504527658846473,0.01880659573558091,0.07758637802504295,0.030170274686963094,0.1519971305941358,1.2106716311183108e-07
4000,0.5277777777777778,0.0005021095456003646,0.006276369320004558,0.000501709124864831,0.006271364060810387,0.0015202968763406315,0.019003710954257895,0.07773944480540035,0.028256939932495673,0.15210262345679013,1.260569978915023e-07
4500,0.59375,0.0005139622035304967,0.006424527544131208,0.0005135275149505007,0.006419093936881259,0.0015289762676463801,0.01911220334557975,0.07765345261513898,0.0293318423107628,0.15223524305555555,1.3207857332896183e-07
5000,0.6597222222222222,0.0005221183419817736,0.00652647927477217,0.0005216819726176375,0.0065210246577204695,0.0015401921322108559,0.019252401652635698,0.07735369030978836,0.033078871127645515,0.15186149691358025,1.3630378151689815e-07
5500,0.7256944444444444,0.0005298494905962923,0.006623118632453654,0.0005293912852861283,0.006617391066076604,0.001546037876331817,0.019325473454147712,0.07763490234983933,0.029563720627008405,0.15215687692901234,1.403702413425752e-07
6000,0.7916666666666667,0.0005386042566112415,0.006732553207640519,0.0005381438956740064,0.00672679869592508,0.0015543801118752673,0.01942975139844084,0.07738602323648403,0.03267470954394969,0.15263310185185186,1.4504727261987403e-07
