step,omega_ci_t,region,q_parallel_mean,q_parallel_abs_mean,q_perp_mean,q_perp_abs_mean
0,0.0,low_y_low_z,6.6457578479901796e-09,3.625841797584532e-06,1.596296318397986e-05,1.596296318397986e-05
0,0.0,low_y_high_z,-2.8673162419264848e-08,3.6185713281608458e-06,1.605495797685937e-05,1.605495797685937e-05
0,0.0,high_y_low_z,6.147911350724794e-09,3.604254505842621e-06,1.6068707402263045e-05,1.6068707402263045e-05
0,0.0,high_y_high_z,9.536525870010604e-09,3.6019068515640762e-06,1.5972906202599243e-05,1.5972906202599243e-05
500,0.06597222222222222,low_y_low_z,7.352515046974213e-09,2.392072629846744e-06,1.0604866686993215e-05,1.0604866686993215e-05
500,0.06597222222222222,low_y_high_z,-2.6657649015861678e-08,2.3921628637663126e-06,1.0606048903737664e-05,1.0606048903737664e-05
500,0.06597222222222222,high_y_low_z,6.944757626995498e-09,2.3925589000415734e-06,1.0616864006548173e-05,1.0616864006548173e-05
500,0.06597222222222222,high_y_high_z,3.980353220463752e-09,2.4038463243478964e-06,1.0622263888279414e-05,1.0622263888279414e-05
1000,0.13194444444444445,low_y_low_z,3.027743935614804e-09,2.4150100991444484e-06,1.061898322051782e-05,1.061898322051782e-05
1000,0.13194444444444445,low_y_high_z,-1.988964312011767e-08,2.411148066596941e-06,1.063660861961471e-05,1.063660861961471e-05
1000,0.13194444444444445,high_y_low_z,8.02356401092167e-09,2.409544253460524e-06,1.0632796849719593e-05,1.0632796849719593e-05
1000,0.13194444444444445,high_y_high_z,2.6255047094904172e-09,2.3986187059928486e-06,1.0628406309108712e-05,1.0628406309108712e-05
1500,0.19791666666666669,low_y_low_z,2.907867026327446e-09,2.4032754194993287e-06,1.0623949233676814e-05,1.0623949233676814e-05
1500,0.19791666666666669,low_y_high_z,-1.4953880185408346e-08,2.401019143292213e-06,1.06159396872543e-05,1.06159396872543e-05
1500,0.19791666666666669,high_y_low_z,1.8646072371371928e-09,2.414775190702455e-06,1.0633484388444002e-05,1.0633484388444002e-05
1500,0.19791666666666669,high_y_high_z,2.447548082586745e-09,2.4012230648527663e-06,1.0609891191204728e-05,1.0609891191204728e-05
2000,0.2638888888888889,low_y_low_z,4.632566149414564e-09,2.4005178960502933e-06,1.059823759452498e-05,1.059823759452498e-05
2000,0.2638888888888889,low_y_high_z,-1.9612125515440414e-08,2.3973168836624063e-06,1.0620061271964202e-05,1.0620061271964202e-05
2000,0.2638888888888889,high_y_low_z,7.951973740590989e-09,2.4014602952241256e-06,1.0600160093137838e-05,1.0600160093137838e-05
2000,0.2638888888888889,high_y_high_z,-2.191300867807715e-09,2.3963931940120488e-06,1.0650971062512649e-05,1.0650971062512649e-05
2500,0.3298611111111111,low_y_low_z,9.080021448048678e-09,2.3922086569203523e-06,1.0609521449521879e-05,1.0609521449521879e-05
2500,0.3298611111111111,low_y_high_z,-1.61589172337846e-08,2.3981990781327995e-06,1.0580734375901014e-05,1.0580734375901014e-05
2500,0.3298611111111111,high_y_low_z,5.7683509997264995e-09,2.4014803299381927e-06,1.0574814968889153e-05,1.0574814968889153e-05
2500,0.3298611111111111,high_y_high_z,-6.68861337012216e-09,2.4115540438472775e-06,1.0575493098132373e-05,1.0575493098132373e-05
3000,0.39583333333333337,low_y_low_z,1.035874885039458e-08,2.3981645497339043e-06,1.0630245491210137e-05,1.0630245491210137e-05
3000,0.39583333333333337,low_y_high_z,-1.1660147408343702e-08,2.415788072995599e-06,1.0587377369735814e-05,1.0587377369735814e-05
3000,0.39583333333333337,high_y_low_z,2.795744250835498e-09,2.395219051008374e-06,1.0615560226004365e-05,1.0615560226004365e-05
3000,0.39583333333333337,high_y_high_z,-1.224251464133793e-08,2.4011561184810425e-06,1.0638471667039937e-05,1.0638471667039937e-05
3500,0.4618055555555556,low_y_low_z,9.045903879766154e-09,2.3932867120202247e-06,1.0595343881263288e-05,1.0595343881263288e-05
3500,0.4618055555555556,low_y_high_z,-1.1249603185415225e-08,2.400394631746105e-06,1.0604435472116516e-05,1.0604435472116516e-05
3500,0.4618055555555556,high_y_low_z,7.464387507371841e-09,2.395882142748648e-06,1.066295341017851e-05,1.066295341017851e-05
3500,0.4618055555555556,high_y_high_z,-1.5070568181300462e-08,2.4023223718019575e-06,1.0618660996349307e-05,1.0618660996349307e-05
4000,0.5277777777777778,low_y_low_z,4.749152982755712e-09,2.4033137698280986e-06,1.0618945575529906e-05,1.0618945575529906e-05
4000,0.5277777777777778,low_y_high_z,-5.44815549220267e-09,2.4044543584434754e-06,1.0607604666085521e-05,1.0607604666085521e-05
4000,0.5277777777777778,high_y_low_z,9.367711364658585e-09,2.3956062825083004e-06,1.0638225285694243e-05,1.0638225285694243e-05
4000,0.5277777777777778,high_y_high_z,-1.3996830473661532e-08,2.4151144318260353e-06,1.0631957500244652e-05,1.0631957500244652e-05
4500,0.59375,low_y_low_z,6.12484903023914e-09,2.396255076102386e-06,1.061069640096438e-05,1.061069640096438e-05
